Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,9.70,9.77,9.70,9.70,14100,9.70
2014-12-05,9.63,9.68,9.63,9.68,10300,9.68
2014-12-04,9.64,9.64,9.63,9.63,1600,9.63
2014-12-03,9.64,9.64,9.63,9.63,3000,9.63
2014-12-02,9.64,9.66,9.64,9.64,25100,9.64
2014-12-01,9.65,9.66,9.65,9.66,5600,9.66
2014-11-28,9.65,9.66,9.65,9.66,2300,9.66
2014-11-26,9.67,9.68,9.65,9.65,5500,9.65
2014-11-25,9.67,9.69,9.64,9.68,25500,9.68
2014-11-24,9.67,9.68,9.67,9.68,22300,9.68
2014-11-21,9.66,9.68,9.66,9.68,12300,9.68
2014-11-20,9.65,9.67,9.64,9.65,13500,9.65
2014-11-19,9.67,9.67,9.65,9.65,10500,9.65
2014-11-18,9.63,9.70,9.63,9.68,31300,9.68
2014-11-17,9.65,9.65,9.63,9.63,17200,9.63
2014-11-14,9.63,9.65,9.63,9.65,21400,9.65
2014-11-13,9.63,9.63,9.60,9.63,88200,9.63
2014-11-12,9.63,9.63,9.60,9.62,18400,9.62
2014-11-11,9.64,9.64,9.62,9.63,18300,9.63
2014-11-10,9.62,9.66,9.60,9.61,34400,9.61
2014-11-07,9.60,9.63,9.60,9.60,8300,9.60
2014-11-06,9.68,9.69,9.60,9.60,1700,9.60
2014-11-05,9.55,9.70,9.55,9.65,26300,9.65
2014-11-04,9.50,9.62,9.50,9.50,9000,9.50
2014-11-03,9.49,9.50,9.49,9.50,7100,9.50
2014-10-31,9.37,9.50,9.37,9.49,30600,9.49
2014-10-30,9.48,9.48,9.48,9.48,100,9.48
2014-10-29,9.57,9.57,9.35,9.45,41900,9.45
2014-10-28,9.52,9.80,9.52,9.56,34700,9.56
2014-10-27,9.67,9.67,9.52,9.52,43500,9.52
2014-10-24,9.57,9.64,9.52,9.52,23700,9.52
2014-10-23,9.70,9.75,9.50,9.54,27000,9.54
2014-10-22,9.79,9.81,9.70,9.71,25800,9.71
2014-10-21,9.64,9.85,9.64,9.81,6300,9.81
2014-10-20,9.89,9.89,9.62,9.68,69100,9.68
2014-10-17,10.00,10.06,9.70,9.75,344900,9.75
2014-10-16,16.68,16.75,16.28,16.75,2600,10.17
2014-10-15,16.25,16.75,16.22,16.22,3500,9.85
2014-10-14,16.80,16.80,16.80,16.80,500,10.20
2014-10-13,15.08,16.77,15.08,16.22,4600,9.85
2014-10-10,16.75,16.75,16.75,16.75,1000,10.17
2014-10-09,16.72,16.77,16.72,16.77,2300,10.16
2014-10-08,16.79,16.79,16.15,16.71,2600,10.13
2014-10-07,16.47,16.80,16.46,16.80,4000,10.18
2014-10-06,16.47,16.47,16.10,16.10,300,9.76
2014-10-03,16.39,16.40,16.10,16.25,11500,9.85
2014-10-02,15.52,16.72,15.52,16.40,9200,9.94
2014-10-01,15.00,15.50,14.84,15.30,23600,9.27
2014-09-30,14.95,14.95,14.95,14.95,500,9.06
2014-09-29,14.99,14.99,14.99,14.99,000,9.09
2014-09-26,14.69,14.99,14.69,14.99,1600,9.09
2014-09-25,14.90,15.12,14.90,15.12,700,9.16
2014-09-24,15.18,15.18,15.18,15.18,000,9.20
2014-09-23,15.18,15.18,15.18,15.18,300,9.20
2014-09-22,15.14,15.14,15.14,15.14,200,9.18
2014-09-19,15.34,15.34,14.38,14.38,5100,8.72
2014-09-18,14.38,15.42,14.30,15.10,42500,9.15
2014-09-17,14.38,14.39,14.21,14.22,1800,8.62
2014-09-16,14.17,14.23,14.17,14.19,2500,8.60
2014-09-15,14.36,14.36,14.05,14.17,20800,8.59
2014-09-12,15.51,15.51,14.32,14.40,40400,8.73
2014-09-11,14.37,14.40,14.37,14.40,2800,8.73
2014-09-10,14.35,14.40,14.35,14.40,1500,8.73
2014-09-09,14.34,14.35,14.32,14.35,1300,8.70
2014-09-08,14.36,14.40,14.04,14.30,1800,8.67
2014-09-05,14.16,14.16,14.16,14.16,000,8.58
2014-09-04,14.16,14.16,14.16,14.16,000,8.58
2014-09-03,14.15,14.40,14.12,14.16,18600,8.58
2014-09-02,14.20,14.32,14.03,14.12,24500,8.56
2014-08-29,14.05,14.20,14.05,14.20,300,8.61
2014-08-28,14.22,14.25,14.06,14.14,11700,8.57
2014-08-27,14.18,14.18,14.15,14.17,2500,8.59
2014-08-26,14.34,14.38,14.04,14.38,22600,8.72
2014-08-25,14.25,14.35,14.15,14.15,2300,8.58
2014-08-22,14.38,14.38,14.11,14.21,1600,8.61
2014-08-21,14.20,14.20,14.17,14.17,700,8.59
2014-08-20,14.44,14.44,14.08,14.30,13300,8.67
2014-08-19,14.33,14.40,14.13,14.25,15600,8.64
2014-08-18,14.32,14.32,14.32,14.32,1000,8.68
2014-08-15,14.93,15.16,14.31,14.32,5400,8.68
2014-08-14,14.39,14.40,14.30,14.33,17300,8.69
2014-08-13,14.35,14.45,14.31,14.32,40500,8.68
2014-08-12,14.30,15.50,14.15,14.43,39500,8.75
2014-08-11,14.45,14.99,14.35,14.38,25400,8.72
2014-08-08,14.25,15.30,14.25,14.57,8100,8.83
2014-08-07,14.40,14.78,14.07,14.60,10200,8.85
2014-08-06,14.20,15.00,14.18,14.60,12200,8.85
2014-08-05,14.48,14.50,14.48,14.50,500,8.79
2014-08-04,14.45,14.50,14.45,14.50,300,8.79
2014-08-01,15.00,15.00,15.00,15.00,000,9.09
2014-07-31,15.00,15.00,15.00,15.00,000,9.09
2014-07-30,15.00,15.00,15.00,15.00,000,9.09
2014-07-29,15.00,15.00,15.00,15.00,000,9.09
2014-07-28,15.00,15.00,15.00,15.00,000,9.09
2014-07-25,15.00,15.00,15.00,15.00,000,9.09
2014-07-24,15.00,15.00,15.00,15.00,000,9.09
2014-07-23,15.00,15.00,14.05,15.00,4400,9.09
2014-07-22,15.00,15.00,15.00,15.00,500,9.09
2014-07-21,15.00,15.00,15.00,15.00,000,9.09
2014-07-18,15.00,15.00,15.00,15.00,000,9.09
2014-07-17,15.00,15.00,15.00,15.00,000,9.09
2014-07-16,14.00,15.00,14.00,15.00,300,9.09
2014-07-15,15.00,15.00,15.00,15.00,000,9.09
2014-07-14,15.00,15.00,15.00,15.00,000,9.09
2014-07-11,14.95,15.00,14.95,15.00,3500,9.09
2014-07-10,14.51,14.51,14.51,14.51,000,8.78
2014-07-09,14.51,14.51,14.51,14.51,000,8.78
2014-07-08,14.51,14.51,14.51,14.51,000,8.78
2014-07-07,14.51,14.51,14.51,14.51,000,8.78
2014-07-03,14.51,14.51,14.51,14.51,000,8.78
2014-07-02,14.51,14.51,14.51,14.51,000,8.78
2014-07-01,14.51,14.51,14.51,14.51,000,8.78
2014-06-30,14.51,14.51,14.51,14.51,500,8.78
2014-06-27,14.90,14.90,14.90,14.90,000,9.01
2014-06-26,14.90,14.90,14.90,14.90,000,9.01
2014-06-25,14.90,14.90,14.90,14.90,000,9.01
2014-06-24,14.90,14.90,14.90,14.90,2100,9.01
2014-06-23,14.96,14.96,14.96,14.96,000,9.05
2014-06-20,14.96,14.96,14.96,14.96,000,9.05
2014-06-19,14.97,14.97,14.96,14.96,700,9.05
2014-06-18,15.00,15.00,15.00,15.00,2500,9.07
2014-06-17,15.01,15.01,15.01,15.01,000,9.08
2014-06-16,15.01,15.01,15.01,15.01,500,9.08
2014-06-13,15.15,15.30,15.15,15.30,1500,9.25
2014-06-12,15.00,15.00,15.00,15.00,200,9.07
