Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,22.87,22.91,22.85,22.85,1300,22.85
2014-12-05,23.31,23.31,23.31,23.31,000,23.31
2014-12-04,23.33,23.39,23.29,23.31,22000,23.31
2014-12-03,23.46,23.51,23.36,23.36,1200,23.36
2014-12-02,23.78,23.78,23.46,23.46,1200,23.46
2014-12-01,23.46,23.58,23.45,23.58,6000,23.58
2014-11-28,23.92,23.92,23.51,23.51,3100,23.51
2014-11-26,24.73,24.73,24.73,24.73,100,24.73
2014-11-25,24.90,24.94,24.65,24.66,6600,24.66
2014-11-24,24.88,24.90,24.74,24.77,900,24.77
2014-11-21,24.99,25.00,24.79,24.95,8300,24.95
2014-11-20,24.55,24.55,24.55,24.55,000,24.55
2014-11-19,24.71,24.71,24.55,24.55,2600,24.55
2014-11-18,24.72,24.72,24.59,24.63,12000,24.63
2014-11-17,24.72,24.72,24.72,24.72,200,24.72
2014-11-14,24.56,24.56,24.56,24.56,000,24.56
2014-11-13,24.95,24.95,24.53,24.56,2900,24.56
2014-11-12,25.20,25.20,25.10,25.10,800,25.10
2014-11-11,24.91,25.18,24.91,25.12,8000,25.12
2014-11-10,25.25,25.25,25.12,25.12,5700,25.12
2014-11-07,25.16,25.25,25.16,25.25,500,25.25
