Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,3.10,3.99,3.00,3.99,12300,3.99
2014-12-05,3.00,3.10,2.48,2.85,8400,2.85
2014-12-04,3.09,3.10,2.54,3.08,1900,3.08
2014-12-03,2.98,3.10,2.60,3.10,12600,3.10
2014-12-02,2.73,3.44,2.55,2.98,12300,2.98
2014-12-01,3.94,3.94,2.69,3.90,2100,3.90
2014-11-28,5.45,5.45,3.50,3.70,1500,3.70
2014-11-26,4.49,4.49,3.40,3.47,5600,3.47
2014-11-25,4.15,4.50,3.73,4.50,4600,4.50
2014-11-24,4.09,4.15,3.78,4.15,6800,4.15
2014-11-21,4.14,4.14,3.70,3.70,2500,3.70
2014-11-20,3.50,4.00,3.44,4.00,4000,4.00
2014-11-19,3.80,3.95,2.71,3.70,19600,3.70
2014-11-18,2.10,3.30,2.10,3.30,6200,3.30
2014-11-17,2.00,2.00,2.00,2.00,000,2.00
2014-11-14,1.80,2.04,1.80,2.00,500,2.00
2014-11-13,1.86,1.87,1.86,1.87,900,1.87
