Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,29.28,29.28,29.28,29.28,000,29.28
2014-12-05,29.28,29.28,29.28,29.28,000,29.28
2014-12-04,29.28,29.28,29.28,29.28,000,29.28
2014-12-03,29.28,29.28,29.28,29.28,000,29.28
2014-12-02,29.28,29.28,29.28,29.28,000,29.28
2014-12-01,29.28,29.28,29.28,29.28,000,29.28
2014-11-28,29.28,29.28,29.28,29.28,000,29.28
2014-11-26,29.28,29.28,29.28,29.28,200,29.28
2014-11-25,28.38,28.38,28.38,28.38,200,28.38
2014-11-24,28.45,28.45,28.45,28.45,100,28.45
2014-11-21,28.08,28.45,28.08,28.45,200,28.45
2014-11-20,28.24,28.61,28.06,28.06,1300,28.06
2014-11-19,28.32,28.32,28.32,28.32,000,28.32
2014-11-18,28.32,28.32,28.32,28.32,000,28.32
2014-11-17,28.33,28.33,28.32,28.32,1400,28.32
2014-11-14,28.77,28.77,28.77,28.77,000,28.77
2014-11-13,28.77,28.77,28.77,28.77,1000,28.77
2014-11-12,28.77,28.77,28.77,28.77,200,28.77
2014-11-11,27.60,28.17,27.60,28.17,2400,28.17
2014-11-10,27.31,27.84,27.31,27.84,500,27.84
2014-11-07,28.45,28.45,27.90,27.90,300,27.90
2014-11-06,28.46,28.46,28.05,28.05,200,28.05
2014-11-05,28.16,28.23,27.34,28.23,300,28.23
2014-11-04,25.77,25.79,25.76,25.79,500,25.79
2014-11-03,26.98,27.58,26.47,27.58,2300,27.58
2014-10-31,25.78,26.55,25.78,26.55,400,26.55
2014-10-30,25.02,26.12,25.02,26.12,700,26.12
2014-10-29,26.37,26.37,25.99,25.99,200,25.99
2014-10-28,25.38,25.62,25.38,25.62,1500,25.62
2014-10-27,25.40,25.40,25.40,25.40,200,25.40
2014-10-24,25.44,25.44,25.44,25.44,000,25.44
2014-10-23,25.44,25.44,25.44,25.44,300,25.44
2014-10-22,25.00,25.00,25.00,25.00,200,25.00
2014-10-21,25.35,25.35,25.35,25.35,200,25.35
2014-10-20,25.14,25.14,25.14,25.14,300,25.14
2014-10-17,25.01,25.01,23.76,24.53,400,24.53
2014-10-16,25.50,25.50,23.73,23.80,1700,23.80
2014-10-15,28.01,28.01,28.01,28.01,000,28.01
2014-10-14,27.75,28.01,27.72,28.01,3000,23.72
2014-10-13,26.73,29.69,26.73,29.69,2600,25.14
2014-10-10,28.50,28.50,28.08,28.08,200,23.78
2014-10-09,29.64,29.64,29.64,29.64,000,25.10
2014-10-08,29.80,29.80,29.30,29.64,600,25.10
2014-10-07,29.82,29.87,29.82,29.87,200,25.29
2014-10-06,30.06,30.07,30.06,30.07,3800,25.46
2014-10-03,28.09,28.09,28.09,28.09,100,23.78
2014-10-02,27.84,27.84,27.65,27.65,500,23.41
2014-10-01,28.27,28.27,28.27,28.27,000,23.94
2014-09-30,28.27,28.27,28.27,28.27,000,23.94
2014-09-29,28.27,28.27,28.27,28.27,000,23.94
2014-09-26,28.27,28.27,28.27,28.27,000,23.94
2014-09-25,28.27,28.27,28.27,28.27,000,23.94
2014-09-24,28.25,28.27,28.25,28.27,700,23.94
2014-09-23,28.91,28.91,28.91,28.91,000,24.48
2014-09-22,28.91,28.91,28.91,28.91,000,24.48
2014-09-19,28.95,28.98,28.90,28.91,1200,24.48
2014-09-18,28.53,28.53,28.53,28.53,000,24.16
2014-09-17,28.53,28.53,28.53,28.53,000,24.16
2014-09-16,28.37,28.53,28.36,28.53,3300,24.16
2014-09-15,28.86,28.86,28.86,28.86,200,24.44
2014-09-12,29.55,29.55,29.55,29.55,100,25.02
2014-09-11,29.20,29.22,29.20,29.22,400,24.74
2014-09-10,29.78,29.78,29.78,29.78,000,25.22
2014-09-09,29.78,29.78,29.78,29.78,000,25.22
2014-09-08,29.72,29.87,29.66,29.78,6500,25.22
2014-09-05,30.13,30.16,30.13,30.16,200,25.54
2014-09-04,30.17,30.17,29.98,30.00,1200,25.40
