Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,216.04,216.15,212.97,213.80,443900,213.80
2014-12-05,217.70,217.71,214.80,215.07,442900,215.07
2014-12-04,215.18,218.03,213.88,216.01,505400,216.01
2014-12-03,214.14,215.66,213.66,214.75,660200,214.75
2014-12-02,212.92,214.14,211.96,213.00,580100,213.00
2014-12-01,216.32,216.32,212.73,213.00,902500,213.00
2014-11-28,214.72,215.24,212.10,213.60,378000,213.60
2014-11-26,212.54,215.00,212.54,214.86,1257600,214.86
2014-11-25,210.84,212.71,209.92,212.42,519200,212.42
2014-11-24,211.72,213.00,210.93,212.62,611100,212.62
2014-11-21,208.89,210.80,208.19,210.09,515900,210.09
2014-11-20,209.94,211.71,207.15,211.23,823600,211.23
2014-11-19,210.00,210.00,207.37,207.58,835900,207.58
2014-11-18,207.47,210.07,207.20,210.00,1027300,210.00
2014-11-17,202.62,206.01,202.15,205.99,1226400,205.99
2014-11-14,201.62,203.00,201.15,202.62,840400,202.62
2014-11-13,201.87,202.80,201.37,202.42,1086600,202.42
2014-11-12,200.55,201.80,199.81,200.51,805000,200.51
2014-11-11,202.19,202.53,201.04,202.21,1010900,202.21
2014-11-10,202.32,202.79,200.10,200.98,1341600,200.98
2014-11-07,199.62,199.75,196.64,198.58,1538100,198.58
2014-11-06,199.86,200.70,198.67,199.95,2210300,199.95
2014-11-05,200.00,200.12,197.20,198.61,1404700,198.61
2014-11-04,197.98,197.98,194.16,195.62,2480700,195.62
2014-11-03,198.64,198.77,195.00,196.49,1009300,196.49
2014-10-31,201.16,201.60,198.68,199.80,1365300,199.80
2014-10-30,196.72,200.31,196.26,199.42,2243000,199.42
2014-10-29,198.70,198.78,194.24,196.45,2327300,196.45
2014-10-28,198.79,198.80,196.98,197.80,2735100,197.80
2014-10-27,196.02,197.14,194.60,195.87,1973500,195.87
2014-10-24,194.01,196.40,192.41,194.49,4105500,194.49
2014-10-23,186.69,187.71,184.49,184.98,1700700,184.98
2014-10-22,187.94,189.28,184.50,184.79,1926600,184.79
2014-10-21,184.55,186.32,184.16,185.80,1978300,185.80
2014-10-20,181.94,185.47,180.20,184.59,3339200,184.59
2014-10-17,182.14,183.56,179.06,179.16,4493600,179.16
2014-10-16,173.50,180.42,172.59,178.46,9445500,178.46
2014-10-15,189.54,198.52,156.25,170.49,30111400,170.49
2014-10-14,244.72,247.18,242.96,244.57,1359700,244.57
2014-10-13,249.51,251.12,245.96,245.98,1568400,245.98
2014-10-10,254.13,256.00,250.39,250.52,1226900,250.52
2014-10-09,261.23,262.30,255.75,256.00,572600,256.00
2014-10-08,254.42,261.68,254.20,260.53,1016000,260.53
2014-10-07,258.08,258.22,255.11,255.19,1051900,255.19
2014-10-06,261.46,262.52,258.53,259.05,1102200,259.05
2014-10-03,259.51,263.24,259.45,262.71,1667300,262.71
2014-10-02,257.71,258.00,252.29,255.06,670400,255.06
2014-10-01,258.52,258.91,256.53,258.45,672700,258.45
2014-09-30,259.88,261.38,258.20,259.05,995800,259.05
2014-09-29,259.76,263.24,259.23,260.67,696800,260.67
2014-09-26,261.88,264.98,258.83,262.64,2555400,262.64
2014-09-25,257.19,259.15,253.87,254.62,906800,254.62
2014-09-24,250.34,258.11,250.07,256.09,1721400,256.09
2014-09-23,248.70,253.07,247.98,250.74,3008900,250.74
2014-09-22,257.53,259.99,255.34,256.30,866600,256.30
2014-09-19,260.31,261.03,257.68,258.17,1283000,258.17
2014-09-18,261.86,262.32,260.02,260.50,764900,260.50
2014-09-17,259.36,262.32,259.24,260.49,796300,260.49
2014-09-16,255.13,259.39,254.64,258.91,545400,258.91
