Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,7.75,7.75,7.10,7.60,174800,7.60
2014-12-05,7.47,7.75,6.95,7.75,771900,7.75
2014-12-04,7.93,7.95,7.44,7.46,214900,7.46
2014-12-03,8.13,8.47,7.85,7.93,410300,7.93
2014-12-02,8.41,8.52,8.09,8.32,349000,8.32
2014-12-01,8.95,8.98,8.52,8.59,192700,8.59
2014-11-28,8.86,8.98,8.80,8.89,138800,8.89
2014-11-26,8.64,8.84,8.60,8.75,406100,8.75
2014-11-25,8.75,8.75,8.55,8.64,201900,8.64
2014-11-24,8.51,8.70,8.28,8.55,475700,8.55
2014-11-21,9.00,9.19,8.26,8.51,4342900,8.51
