Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,50.05,50.05,50.05,50.05,000,50.05
2014-12-05,50.05,50.05,50.05,50.05,000,50.05
2014-12-04,50.05,50.05,50.05,50.05,000,50.05
2014-12-03,50.04,50.05,50.04,50.05,1200,50.05
2014-12-02,50.47,50.47,50.47,50.47,000,50.47
2014-12-01,50.51,50.51,50.47,50.47,200,50.47
2014-11-28,50.24,50.24,50.24,50.24,000,50.18
2014-11-26,50.24,50.24,50.24,50.24,000,50.18
2014-11-25,50.24,50.24,50.24,50.24,200,50.18
2014-11-24,50.19,50.19,50.19,50.19,000,50.13
2014-11-21,50.16,50.19,50.16,50.19,1700,50.13
2014-11-20,50.17,50.17,50.17,50.17,600,50.11
2014-11-19,50.08,50.08,50.08,50.08,000,50.02
2014-11-18,50.08,50.08,50.08,50.08,400,50.02
2014-11-17,50.16,50.16,50.14,50.14,400,50.08
