Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,19.05,19.77,19.05,19.39,16500,19.39
2014-12-05,18.54,19.24,18.54,19.08,16000,19.08
2014-12-04,18.80,18.93,18.26,18.54,12100,18.54
2014-12-03,18.49,19.09,18.48,18.84,17500,18.84
2014-12-02,18.27,18.88,18.27,18.77,25000,18.77
2014-12-01,18.55,18.87,18.25,18.25,20700,18.25
2014-11-28,18.85,18.94,18.50,18.55,10100,18.55
2014-11-26,18.61,18.97,18.61,18.97,15600,18.97
2014-11-25,18.80,18.82,18.56,18.69,21000,18.69
2014-11-24,18.75,18.84,18.68,18.83,21200,18.83
2014-11-21,18.93,19.08,18.70,18.75,31200,18.75
2014-11-20,18.83,18.92,18.65,18.73,9500,18.73
2014-11-19,19.16,19.30,18.89,18.95,27600,18.95
2014-11-18,19.12,19.32,19.10,19.27,16800,19.27
2014-11-17,19.28,19.28,18.84,19.13,20800,19.13
2014-11-14,19.79,19.79,19.34,19.40,15400,19.40
2014-11-13,19.93,20.06,19.71,19.72,7500,19.72
2014-11-12,19.93,19.99,19.82,19.96,12600,19.96
2014-11-11,20.20,20.25,19.94,19.94,20400,19.94
2014-11-10,19.97,20.21,19.97,20.21,14100,20.21
2014-11-07,19.97,20.09,19.86,19.97,34500,19.97
2014-11-06,20.00,20.13,19.81,19.98,20400,19.98
2014-11-05,20.40,20.45,19.96,20.05,54900,20.05
2014-11-04,20.02,20.35,20.02,20.30,15900,20.30
2014-11-03,20.17,20.49,20.08,20.12,23200,20.12
2014-10-31,20.29,20.50,20.11,20.20,56200,20.20
2014-10-30,19.05,20.19,19.05,19.99,75300,19.99
2014-10-29,18.66,19.21,18.66,19.18,39200,19.18
2014-10-28,17.96,18.74,17.96,18.74,42300,18.74
2014-10-27,17.94,18.00,17.79,17.95,8000,17.95
2014-10-24,18.09,18.16,17.90,17.93,13100,17.93
2014-10-23,17.78,18.27,17.78,18.19,15500,18.19
2014-10-22,18.25,18.25,17.88,18.01,27500,18.01
2014-10-21,17.94,18.27,17.84,18.19,19300,18.19
2014-10-20,17.68,18.07,17.63,17.79,22200,17.79
2014-10-17,18.64,18.64,17.72,17.97,31100,17.97
2014-10-16,17.83,18.45,17.83,18.38,30300,18.38
2014-10-15,18.11,18.23,17.49,18.10,73700,18.10
2014-10-14,17.84,18.11,17.44,17.99,21400,17.99
2014-10-13,17.47,17.90,17.25,17.59,36200,17.59
2014-10-10,17.19,17.82,17.18,17.40,69100,17.40
2014-10-09,17.66,17.67,17.22,17.30,20400,17.30
2014-10-08,17.35,17.73,17.25,17.68,24300,17.68
2014-10-07,18.08,18.08,17.27,17.44,93800,17.44
2014-10-06,18.35,18.41,18.00,18.17,61000,18.17
2014-10-03,18.25,18.46,18.25,18.29,14300,18.29
2014-10-02,17.76,18.23,17.75,18.17,28400,18.17
2014-10-01,18.15,18.17,17.75,17.84,36300,17.84
2014-09-30,18.32,18.39,18.09,18.11,36200,18.11
2014-09-29,18.35,18.44,18.33,18.40,536800,18.40
2014-09-26,18.75,18.76,18.52,18.54,11000,18.54
2014-09-25,18.78,18.78,18.63,18.67,31600,18.67
2014-09-24,18.77,18.88,18.70,18.76,14400,18.76
2014-09-23,18.90,19.05,18.75,18.78,20000,18.78
2014-09-22,18.65,19.13,18.65,18.89,24000,18.89
2014-09-19,18.42,18.89,18.20,18.84,64600,18.84
2014-09-18,18.30,18.59,18.25,18.35,8600,18.35
2014-09-17,18.21,18.43,18.17,18.19,11200,18.19
2014-09-16,18.25,18.28,18.09,18.17,13900,18.17
2014-09-15,18.17,18.40,18.17,18.24,13000,18.24
2014-09-12,18.44,18.58,18.18,18.25,18100,18.25
2014-09-11,18.37,18.47,18.26,18.40,15200,18.40
2014-09-10,18.35,18.53,18.25,18.53,10500,18.53
2014-09-09,18.66,18.77,18.25,18.31,16400,18.31
2014-09-08,18.74,18.85,18.46,18.67,14000,18.67
2014-09-05,18.65,18.76,18.50,18.53,10100,18.53
2014-09-04,18.86,19.04,18.64,18.64,7400,18.64
2014-09-03,19.30,19.33,18.96,18.99,7100,18.99
2014-09-02,18.81,19.29,18.81,19.24,24500,19.24
2014-08-29,18.69,18.81,18.50,18.74,20100,18.74
2014-08-28,18.90,18.96,18.40,18.68,26900,18.68
2014-08-27,19.16,19.16,18.99,19.04,8400,19.04
2014-08-26,19.01,19.17,18.88,19.15,16500,19.15
2014-08-25,19.14,19.29,18.86,19.05,13900,19.05
2014-08-22,19.12,19.29,19.01,19.04,8800,19.04
2014-08-21,19.11,19.37,18.75,19.05,16100,19.05
2014-08-20,18.90,19.14,18.76,19.13,18600,19.13
2014-08-19,18.90,19.48,18.90,18.98,22800,18.98
2014-08-18,19.02,19.43,18.76,18.90,19400,18.90
2014-08-15,19.80,19.85,18.78,18.84,50700,18.84
2014-08-14,19.34,19.64,19.34,19.64,10100,19.64
2014-08-13,18.87,19.40,18.84,19.26,21600,19.26
2014-08-12,18.62,18.99,18.46,18.85,25500,18.85
2014-08-11,19.23,19.36,18.54,18.62,30900,18.62
2014-08-08,3.75,3.82,3.75,3.81,15500,19.05
2014-08-07,3.75,3.80,3.75,3.76,7900,18.80
2014-08-06,3.75,3.81,3.75,3.76,23900,18.80
2014-08-05,3.75,3.78,3.71,3.72,20400,18.60
2014-08-04,3.78,3.87,3.75,3.75,29800,18.75
2014-08-01,3.78,3.79,3.70,3.75,44800,18.75
2014-07-31,3.81,3.96,3.76,3.76,41900,18.80
2014-07-30,3.94,3.94,3.85,3.90,12200,19.50
2014-07-29,3.89,3.94,3.87,3.89,9500,19.45
2014-07-28,3.87,3.89,3.82,3.85,17500,19.25
2014-07-25,3.90,3.96,3.88,3.89,13400,19.45
2014-07-24,3.95,4.00,3.90,3.95,12400,19.75
2014-07-23,3.91,3.96,3.88,3.92,7500,19.60
2014-07-22,3.92,3.97,3.90,3.90,9800,19.50
2014-07-21,3.95,3.95,3.89,3.91,11700,19.55
2014-07-18,3.95,3.98,3.88,3.96,27500,19.80
2014-07-17,4.00,4.01,3.95,3.96,23900,19.80
2014-07-16,4.05,4.05,3.99,4.00,12900,20.00
2014-07-15,4.00,4.04,3.97,4.01,21000,20.05
2014-07-14,4.03,4.07,4.00,4.00,30600,20.00
2014-07-11,4.02,4.04,4.00,4.02,20000,20.10
2014-07-10,3.97,4.07,3.95,4.05,32700,20.25
2014-07-09,4.06,4.09,4.02,4.05,27100,20.25
2014-07-08,4.28,4.28,4.03,4.06,55200,20.30
2014-07-07,4.39,4.40,4.20,4.37,52900,21.85
2014-07-03,4.15,4.38,4.14,4.27,48600,21.35
2014-07-02,4.13,4.15,4.04,4.09,21600,20.45
2014-07-01,4.01,4.15,4.01,4.10,35700,20.50
2014-06-30,3.98,4.01,3.93,4.01,22100,20.05
2014-06-27,3.94,4.04,3.94,4.00,46800,20.00
2014-06-26,3.99,4.08,3.94,3.98,29700,19.90
2014-06-25,3.92,4.00,3.90,4.00,63300,20.00
2014-06-24,3.93,3.98,3.90,3.94,130300,19.70
2014-06-23,3.97,3.98,3.93,3.95,8700,19.75
2014-06-20,3.96,3.97,3.92,3.95,67100,19.75
2014-06-19,3.95,3.96,3.90,3.93,36300,19.65
2014-06-18,3.79,3.91,3.79,3.90,55000,19.50
2014-06-17,3.76,3.83,3.71,3.83,17700,19.15
2014-06-16,3.74,3.85,3.65,3.74,31200,18.70
2014-06-13,3.84,3.85,3.78,3.78,17400,18.90
2014-06-12,3.80,3.86,3.75,3.81,14100,19.05
2014-06-11,3.86,3.86,3.78,3.82,16600,19.10
2014-06-10,3.97,3.98,3.84,3.90,37000,19.50
2014-06-09,3.90,3.99,3.88,3.95,19600,19.75
2014-06-06,3.75,3.95,3.74,3.89,34100,19.45
2014-06-05,3.63,3.76,3.55,3.75,30400,18.75
2014-06-04,3.66,3.68,3.61,3.64,16900,18.20
2014-06-03,3.68,3.74,3.61,3.69,30400,18.45
2014-06-02,3.77,3.77,3.70,3.71,16600,18.55
2014-05-30,3.83,3.83,3.75,3.77,70500,18.85
2014-05-29,3.86,3.86,3.80,3.81,11600,19.05
2014-05-28,3.80,3.86,3.78,3.83,14100,19.15
2014-05-27,3.76,3.86,3.75,3.84,18700,19.20
2014-05-23,3.66,3.75,3.62,3.75,15800,18.75
2014-05-22,3.66,3.66,3.60,3.64,10800,18.20
2014-05-21,3.66,3.71,3.60,3.63,22000,18.15
2014-05-20,3.71,3.71,3.59,3.63,29900,18.15
2014-05-19,3.66,3.77,3.66,3.74,17600,18.70
2014-05-16,3.64,3.69,3.64,3.69,25200,18.45
2014-05-15,3.70,3.74,3.64,3.65,26500,18.25
2014-05-14,3.82,3.82,3.68,3.72,31600,18.60
2014-05-13,3.96,3.99,3.85,3.85,30600,19.25
2014-05-12,3.80,4.00,3.73,3.99,42800,19.95
2014-05-09,3.61,3.77,3.61,3.76,20600,18.80
2014-05-08,3.70,3.70,3.57,3.64,18900,18.20
2014-05-07,3.63,3.69,3.55,3.69,37600,18.45
2014-05-06,3.68,3.73,3.60,3.60,44900,18.00
2014-05-05,3.74,3.78,3.67,3.71,36000,18.55
2014-05-02,3.82,3.87,3.71,3.74,338700,18.70
2014-05-01,3.80,3.86,3.76,3.79,37700,18.95
2014-04-30,3.80,3.85,3.77,3.80,689000,19.00
2014-04-29,3.85,3.88,3.78,3.80,12700,19.00
2014-04-28,3.78,3.84,3.76,3.82,16100,19.10
2014-04-25,3.86,3.87,3.76,3.77,33000,18.85
2014-04-24,3.93,4.01,3.86,3.89,115200,19.45
2014-04-23,4.07,4.11,3.88,3.89,25500,19.45
2014-04-22,3.94,4.10,3.90,4.07,16400,20.35
2014-04-21,3.89,4.00,3.89,3.95,7100,19.75
2014-04-17,3.86,3.91,3.85,3.91,12600,19.55
2014-04-16,3.88,3.91,3.85,3.88,10100,19.40
2014-04-15,3.96,3.96,3.75,3.83,17700,19.15
2014-04-14,3.98,3.99,3.90,3.93,17700,19.65
2014-04-11,3.90,4.00,3.90,3.92,20600,19.60
2014-04-10,4.05,4.05,3.89,3.95,23500,19.75
2014-04-09,4.00,4.10,3.96,4.05,13200,20.25
2014-04-08,4.03,4.12,3.89,4.00,41700,20.00
2014-04-07,4.04,4.06,3.95,4.03,36600,20.15
2014-04-04,3.99,4.16,3.99,4.04,89600,20.20
2014-04-03,3.90,4.05,3.78,3.97,79400,19.85
2014-04-02,3.60,3.97,3.60,3.88,89500,19.40
2014-04-01,3.36,3.51,3.29,3.49,14200,17.45
2014-03-31,3.25,3.37,3.22,3.36,13300,16.80
2014-03-28,3.22,3.26,3.21,3.23,12900,16.15
2014-03-27,3.30,3.30,3.22,3.23,10200,16.15
2014-03-26,3.40,3.40,3.28,3.28,12000,16.40
2014-03-25,3.36,3.40,3.33,3.38,4900,16.90
2014-03-24,3.31,3.35,3.29,3.33,10100,16.65
2014-03-21,3.48,3.51,3.30,3.33,27900,16.65
2014-03-20,3.48,3.52,3.38,3.45,11400,17.25
2014-03-19,3.47,3.50,3.40,3.50,14100,17.50
2014-03-18,3.38,3.49,3.36,3.49,9300,17.45
2014-03-17,3.38,3.40,3.36,3.39,2900,16.95
2014-03-14,3.34,3.41,3.34,3.36,4700,16.80
