Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,11.80,11.85,11.68,11.80,168700,11.80
2014-12-05,11.65,11.85,11.56,11.80,267200,11.80
2014-12-04,11.74,11.75,11.49,11.65,41100,11.65
2014-12-03,11.57,11.75,11.41,11.69,240700,11.69
2014-12-02,11.60,11.60,11.47,11.50,57600,11.50
2014-12-01,11.25,11.80,11.02,11.50,23800,11.50
2014-11-28,11.75,11.80,11.75,11.80,16300,11.80
2014-11-26,11.75,11.75,11.50,11.50,261300,11.50
2014-11-25,11.48,11.50,11.25,11.50,355300,11.50
2014-11-24,11.25,11.35,11.25,11.25,900,11.25
2014-11-21,11.49,11.50,11.23,11.25,15100,11.25
2014-11-20,11.10,11.50,11.10,11.50,3100,11.50
2014-11-19,11.10,11.50,11.00,11.50,11600,11.50
2014-11-18,11.07,11.74,11.06,11.74,8100,11.74
2014-11-17,11.07,11.28,11.07,11.28,1600,11.28
2014-11-14,11.45,11.45,11.45,11.45,000,11.45
2014-11-13,11.45,11.45,11.45,11.45,000,11.45
2014-11-12,11.75,11.85,11.15,11.45,3500,11.45
2014-11-11,11.50,11.50,11.50,11.50,200,11.50
2014-11-10,11.12,11.12,11.12,11.12,200,11.12
2014-11-07,11.50,11.50,10.35,11.00,35900,11.00
2014-11-06,11.85,11.85,11.85,11.85,000,11.85
2014-11-05,11.60,11.85,11.60,11.85,3100,11.85
2014-11-04,12.00,12.00,10.62,11.55,39200,11.55
2014-11-03,12.00,12.06,11.75,11.98,19700,11.98
