Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,20.66,20.66,20.16,20.16,1400,20.16
2014-12-05,20.65,20.65,20.65,20.65,3100,20.65
2014-12-04,21.00,21.00,21.00,21.00,000,21.00
2014-12-03,21.00,21.00,21.00,21.00,000,21.00
2014-12-02,21.00,21.00,20.97,21.00,2000,21.00
2014-12-01,20.16,20.31,20.00,20.00,4000,20.00
2014-11-28,20.31,21.16,20.31,21.16,400,21.16
2014-11-26,20.26,20.36,20.06,20.26,2100,20.26
2014-11-25,20.68,20.74,20.68,20.74,900,20.74
2014-11-24,20.69,21.50,20.69,21.50,3100,21.50
2014-11-21,20.67,20.67,20.67,20.67,000,20.67
2014-11-20,20.28,20.70,20.28,20.67,2400,20.67
2014-11-19,20.60,20.60,20.60,20.60,1400,20.60
2014-11-18,20.44,20.60,20.44,20.50,10300,20.50
2014-11-17,20.80,20.85,20.80,20.83,1700,20.83
2014-11-14,20.68,20.85,20.68,20.80,4000,20.80
2014-11-13,21.25,21.25,21.25,21.25,000,21.25
2014-11-12,21.25,21.25,21.25,21.25,000,21.25
2014-11-11,21.25,21.25,21.25,21.25,000,21.25
2014-11-10,21.25,21.25,21.25,21.25,000,21.25
2014-11-07,21.25,21.25,21.25,21.25,1700,21.25
2014-11-06,20.75,20.75,20.75,20.75,100,20.75
2014-11-05,20.70,20.70,20.70,20.70,000,20.70
2014-11-04,20.72,20.72,20.67,20.70,800,20.70
2014-11-03,20.48,20.75,20.20,20.75,4400,20.75
2014-10-31,20.60,20.60,20.60,20.60,1900,20.60
2014-10-30,20.35,20.35,20.30,20.30,500,20.30
2014-10-29,19.90,19.90,19.90,19.90,500,19.90
2014-10-28,20.80,20.80,20.10,20.10,500,20.10
2014-10-27,20.10,20.10,20.10,20.10,800,20.10
2014-10-24,20.44,20.56,19.56,20.10,3600,20.10
2014-10-23,21.00,21.00,21.00,21.00,000,21.00
2014-10-22,21.00,21.00,21.00,21.00,000,21.00
2014-10-21,21.00,21.00,21.00,21.00,100,21.00
2014-10-20,20.80,20.80,20.80,20.80,000,20.80
2014-10-17,20.80,20.80,20.80,20.80,000,20.80
2014-10-16,20.80,20.80,20.80,20.80,100,20.80
2014-10-15,20.80,20.80,20.49,20.80,5000,20.80
2014-10-14,20.50,20.50,20.50,20.50,000,20.50
2014-10-13,20.50,20.50,20.50,20.50,500,20.50
2014-10-10,21.45,21.50,20.83,20.83,1700,20.83
2014-10-09,20.91,20.91,20.68,20.81,6500,20.81
2014-10-08,20.47,20.47,20.47,20.47,1000,20.47
2014-10-07,20.94,20.94,20.94,20.94,500,20.94
2014-10-06,21.25,21.25,21.25,21.25,300,21.25
2014-10-03,20.82,20.82,20.82,20.82,000,20.82
2014-10-02,20.82,20.82,20.82,20.82,000,20.82
2014-10-01,21.11,21.11,20.82,20.82,10400,20.72
2014-09-30,20.95,20.95,20.21,20.73,6500,20.63
2014-09-29,21.06,21.06,21.06,21.06,000,20.96
2014-09-26,21.06,21.06,21.06,21.06,000,20.96
2014-09-25,21.06,21.06,21.06,21.06,000,20.96
2014-09-24,21.20,21.20,21.00,21.06,5300,20.96
2014-09-23,21.05,21.05,21.05,21.05,000,20.95
2014-09-22,21.05,21.05,21.05,21.05,200,20.95
2014-09-19,21.01,21.43,21.01,21.43,1600,21.33
2014-09-18,21.26,21.26,21.20,21.20,200,21.10
2014-09-17,21.20,21.25,21.20,21.23,1100,21.13
2014-09-16,21.25,21.30,21.20,21.20,2600,21.10
2014-09-15,21.35,21.41,21.22,21.40,1600,21.30
2014-09-12,21.92,21.92,21.92,21.92,200,21.81
2014-09-11,21.40,21.40,21.40,21.40,000,21.30
2014-09-10,21.27,21.40,21.27,21.40,6800,21.30
2014-09-09,21.35,21.35,21.25,21.25,1900,21.15
2014-09-08,21.35,21.35,21.35,21.35,1000,21.25
2014-09-05,21.44,21.44,21.44,21.44,000,21.34
2014-09-04,21.42,21.44,21.42,21.44,200,21.34
2014-09-03,21.65,21.65,21.55,21.60,400,21.50
2014-09-02,21.65,21.65,21.65,21.65,100,21.55
2014-08-29,21.65,22.00,21.57,21.57,1200,21.47
2014-08-28,21.43,21.43,21.43,21.43,000,21.33
2014-08-27,21.42,21.61,21.42,21.43,1000,21.33
2014-08-26,21.52,21.69,21.42,21.42,4400,21.32
2014-08-25,21.47,21.47,21.35,21.35,500,21.25
2014-08-22,22.49,22.49,22.49,22.49,100,22.38
2014-08-21,21.35,21.35,21.30,21.30,2100,21.20
2014-08-20,21.45,21.45,21.35,21.35,1400,21.25
2014-08-19,21.45,21.45,21.45,21.45,100,21.35
2014-08-18,21.46,21.46,21.46,21.46,1200,21.36
2014-08-15,21.74,21.74,21.54,21.54,400,21.44
2014-08-14,21.45,21.45,21.45,21.45,000,21.35
2014-08-13,21.45,21.45,21.45,21.45,000,21.35
2014-08-12,21.45,21.45,21.45,21.45,500,21.35
2014-08-11,21.63,21.63,21.63,21.63,000,21.53
2014-08-08,21.63,21.63,21.63,21.63,000,21.53
2014-08-07,22.00,22.00,21.63,21.63,1700,21.53
2014-08-06,22.00,22.00,22.00,22.00,2500,21.89
2014-08-05,22.00,22.16,22.00,22.16,700,22.05
2014-08-04,21.75,22.00,21.69,22.00,15000,21.89
2014-08-01,23.00,23.00,23.00,23.00,000,22.89
2014-07-31,23.00,23.00,23.00,23.00,400,22.89
2014-07-30,21.58,21.58,21.58,21.58,000,21.48
2014-07-29,21.58,21.58,21.58,21.58,000,21.48
2014-07-28,21.58,21.58,21.58,21.58,000,21.48
2014-07-25,21.58,21.58,21.58,21.58,100,21.48
2014-07-24,21.55,21.55,21.55,21.55,200,21.45
2014-07-23,22.90,22.90,22.87,22.90,2100,22.79
2014-07-22,22.00,23.75,22.00,23.75,1300,23.64
2014-07-21,23.36,23.36,23.36,23.36,100,23.25
2014-07-18,21.95,21.95,21.95,21.95,000,21.84
2014-07-17,21.95,21.95,21.95,21.95,000,21.84
2014-07-16,21.95,21.95,21.95,21.95,500,21.84
2014-07-15,21.55,21.55,21.45,21.55,500,21.45
2014-07-14,22.82,22.82,22.82,22.82,000,22.71
2014-07-11,22.82,22.82,22.82,22.82,000,22.71
2014-07-10,22.82,22.82,22.82,22.82,000,22.71
2014-07-09,22.82,22.82,22.82,22.82,000,22.71
2014-07-08,23.41,23.41,22.82,22.82,300,22.71
2014-07-07,23.64,23.64,23.64,23.64,200,23.53
2014-07-03,22.90,22.90,21.47,21.59,500,21.49
2014-07-02,22.90,22.90,22.90,22.90,000,22.79
2014-07-01,22.90,22.90,22.90,22.90,800,22.69
2014-06-30,23.75,23.75,21.80,23.75,1000,23.53
2014-06-27,23.50,23.96,23.42,23.70,1600,23.48
2014-06-26,22.03,23.50,22.03,23.50,4300,23.29
2014-06-25,22.00,22.00,22.00,22.00,000,21.80
2014-06-24,22.21,22.21,21.55,22.00,800,21.80
2014-06-23,21.55,22.02,21.55,22.02,1400,21.82
2014-06-20,22.00,22.50,22.00,22.50,2800,22.29
2014-06-19,21.56,22.00,21.55,22.00,2300,21.80
2014-06-18,21.55,22.20,21.55,22.20,500,22.00
2014-06-17,21.65,21.65,21.60,21.65,2300,21.45
2014-06-16,21.79,21.79,21.79,21.79,000,21.59
2014-06-13,21.79,21.79,21.79,21.79,500,21.59
2014-06-12,22.00,22.00,22.00,22.00,000,21.80
2014-06-11,22.00,22.00,22.00,22.00,000,21.80
2014-06-10,21.50,22.00,21.50,22.00,2800,21.80
2014-06-09,21.50,21.50,21.50,21.50,000,21.30
2014-06-06,21.87,21.87,21.20,21.50,1500,21.30
2014-06-05,21.97,21.97,21.97,21.97,000,21.77
2014-06-04,21.97,21.97,21.97,21.97,000,21.77
2014-06-03,21.97,21.97,21.97,21.97,000,21.77
2014-06-02,22.00,22.00,21.08,21.97,17700,21.77
