Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,15.02,15.20,15.00,15.02,37500,15.02
2014-12-05,14.64,15.14,14.62,15.05,50700,15.05
2014-12-04,14.85,14.85,14.57,14.67,41700,14.67
2014-12-03,14.67,14.89,14.50,14.85,39500,14.85
2014-12-02,14.45,14.78,14.45,14.65,37900,14.65
2014-12-01,14.43,14.54,14.35,14.38,31200,14.38
2014-11-28,14.63,14.63,14.40,14.41,23500,14.41
2014-11-26,14.59,14.69,14.53,14.69,19800,14.69
2014-11-25,14.73,14.75,14.59,14.62,16400,14.62
2014-11-24,14.55,14.76,14.51,14.75,33600,14.75
2014-11-21,14.76,14.76,14.42,14.51,44300,14.51
2014-11-20,14.50,14.58,14.32,14.53,35700,14.53
2014-11-19,14.76,14.76,14.51,14.56,39800,14.56
2014-11-18,14.80,14.85,14.69,14.82,36900,14.82
2014-11-17,14.80,14.84,14.62,14.79,47100,14.79
2014-11-14,14.96,15.03,14.81,14.86,51700,14.86
2014-11-13,15.15,15.15,15.00,15.00,58300,15.00
2014-11-12,15.04,15.10,14.93,15.07,61200,15.07
2014-11-11,14.97,15.14,14.87,15.13,58000,15.13
2014-11-10,14.82,14.89,14.68,14.89,35500,14.89
2014-11-07,14.88,14.88,14.71,14.80,33400,14.80
2014-11-06,14.85,14.93,14.65,14.91,34900,14.91
2014-11-05,14.84,15.00,14.75,14.85,27100,14.85
2014-11-04,14.77,14.91,14.66,14.70,30700,14.70
2014-11-03,15.16,15.21,14.74,14.86,43900,14.86
2014-10-31,15.22,15.24,14.97,15.16,99200,15.16
2014-10-30,14.77,15.23,14.58,15.10,94800,15.10
2014-10-29,14.62,14.90,14.61,14.84,66400,14.84
2014-10-28,14.28,14.68,14.19,14.65,78800,14.65
2014-10-27,14.19,14.27,14.11,14.18,22300,14.18
2014-10-24,14.51,14.51,14.24,14.24,22500,14.24
2014-10-23,14.36,14.49,14.17,14.43,49200,14.43
2014-10-22,14.53,14.53,14.17,14.20,25300,14.20
2014-10-21,14.44,14.66,14.37,14.57,33000,14.57
2014-10-20,14.57,14.64,14.15,14.41,105500,14.41
2014-10-17,14.91,14.91,14.51,14.59,75200,14.59
2014-10-16,14.32,14.92,14.32,14.70,75900,14.70
2014-10-15,14.22,14.59,13.96,14.46,117800,14.46
2014-10-14,14.15,14.48,14.10,14.44,91400,14.44
2014-10-13,13.96,14.25,13.80,14.12,80100,14.12
2014-10-10,13.68,14.31,13.68,13.88,107500,13.88
2014-10-09,13.98,13.98,13.62,13.67,84300,13.67
2014-10-08,13.62,14.06,13.60,13.98,37800,13.98
2014-10-07,13.72,13.86,13.64,13.67,58300,13.67
2014-10-06,13.89,13.90,13.68,13.76,51400,13.76
2014-10-03,13.81,13.95,13.75,13.88,30200,13.88
2014-10-02,13.55,13.80,13.55,13.63,35900,13.63
2014-10-01,13.62,13.69,13.46,13.51,71400,13.51
2014-09-30,13.67,13.87,13.58,13.58,96700,13.58
2014-09-29,13.70,13.81,13.65,13.72,36400,13.72
2014-09-26,13.86,13.86,13.75,13.79,35200,13.79
2014-09-25,13.94,13.96,13.76,13.77,49300,13.77
2014-09-24,13.82,14.03,13.79,13.96,45600,13.96
2014-09-23,14.06,14.11,13.90,13.92,81800,13.81
2014-09-22,14.15,14.15,14.05,14.07,39000,13.96
2014-09-19,14.27,14.29,14.07,14.15,125200,14.04
2014-09-18,14.30,14.34,14.19,14.24,65000,14.13
2014-09-17,14.20,14.39,14.18,14.23,37700,14.12
2014-09-16,14.35,14.36,14.22,14.22,35100,14.11
2014-09-15,14.35,14.36,14.20,14.31,51400,14.20
2014-09-12,14.52,14.52,14.25,14.27,40800,14.16
2014-09-11,14.39,14.50,14.31,14.48,26400,14.37
2014-09-10,14.47,14.50,14.40,14.42,31700,14.31
2014-09-09,14.60,14.60,14.40,14.40,38200,14.29
2014-09-08,12.93,14.67,12.93,14.67,28100,14.55
2014-09-05,14.46,14.64,14.44,14.61,18000,14.49
2014-09-04,14.62,14.72,14.51,14.53,25600,14.42
2014-09-03,14.76,14.76,14.54,14.57,31200,14.45
2014-09-02,14.77,14.78,14.57,14.75,60600,14.63
2014-08-29,14.45,14.74,14.40,14.66,57200,14.54
2014-08-28,14.55,14.56,14.40,14.42,47900,14.31
2014-08-27,14.78,14.78,14.60,14.62,16300,14.50
2014-08-26,14.81,14.83,14.71,14.80,71700,14.68
2014-08-25,14.67,14.81,14.55,14.80,54400,14.68
2014-08-22,14.64,14.69,14.50,14.62,30800,14.50
2014-08-21,14.54,14.80,14.45,14.61,38100,14.49
2014-08-20,14.76,14.82,14.56,14.61,32800,14.49
2014-08-19,14.86,14.99,14.75,14.87,31400,14.75
2014-08-18,14.94,14.98,14.73,14.90,39900,14.78
2014-08-15,15.08,15.08,14.44,14.75,82300,14.63
2014-08-14,14.90,14.90,14.76,14.85,21500,14.73
2014-08-13,14.74,14.85,14.74,14.85,27000,14.73
2014-08-12,14.67,14.74,14.62,14.72,26600,14.60
2014-08-11,14.63,14.80,14.63,14.70,30300,14.58
2014-08-08,14.40,14.66,14.34,14.60,32700,14.48
2014-08-07,14.72,14.81,14.41,14.44,40300,14.33
2014-08-06,14.54,14.87,14.54,14.70,45300,14.58
2014-08-05,14.50,14.65,14.46,14.59,35200,14.47
2014-08-04,14.53,14.81,14.42,14.55,54700,14.44
2014-08-01,14.83,14.97,14.50,14.54,74700,14.43
2014-07-31,14.75,15.00,14.75,14.78,84300,14.66
2014-07-30,14.77,15.06,14.77,14.95,34400,14.83
2014-07-29,14.65,14.84,14.65,14.72,43600,14.60
2014-07-28,14.81,14.91,14.60,14.65,47400,14.53
2014-07-25,14.75,14.85,14.67,14.72,66800,14.60
2014-07-24,14.89,15.07,14.76,14.87,45300,14.75
2014-07-23,15.08,15.19,14.87,14.89,65300,14.77
2014-07-22,15.23,15.32,15.03,15.10,62900,14.98
2014-07-21,15.28,15.41,15.10,15.15,40700,15.03
2014-07-18,15.36,15.61,15.36,15.43,84000,15.31
2014-07-17,15.60,15.70,15.42,15.43,92400,15.31
2014-07-16,16.15,16.15,15.75,15.76,91200,15.64
2014-07-15,16.47,16.70,15.81,16.03,231300,15.90
2014-07-14,16.42,16.61,16.32,16.46,81900,16.33
2014-07-11,15.80,16.31,15.57,16.18,52000,16.05
2014-07-10,15.60,15.95,15.52,15.75,25000,15.63
2014-07-09,15.85,15.98,15.69,15.91,32100,15.78
2014-07-08,15.80,15.89,15.59,15.82,40100,15.69
2014-07-07,16.24,16.24,15.86,15.86,32400,15.73
2014-07-03,16.14,16.36,16.04,16.33,19400,16.20
2014-07-02,16.18,16.23,15.97,16.01,52200,15.88
2014-07-01,15.80,16.24,15.80,16.14,65300,16.01
2014-06-30,15.95,16.07,15.54,15.71,95600,15.59
2014-06-27,15.97,16.25,15.65,15.93,291000,15.80
2014-06-26,15.85,16.15,15.80,16.11,18700,15.98
2014-06-25,15.98,16.21,15.87,16.00,41000,15.87
2014-06-24,16.24,16.68,16.11,16.19,41900,15.95
2014-06-23,16.55,16.55,16.28,16.34,31200,16.10
2014-06-20,16.27,16.55,16.14,16.47,121100,16.23
2014-06-19,16.00,16.26,15.89,16.19,43200,15.95
2014-06-18,15.90,16.00,15.79,16.00,40100,15.77
2014-06-17,15.86,16.00,15.65,15.94,52100,15.71
2014-06-16,15.74,15.90,15.55,15.83,35300,15.60
2014-06-13,15.79,15.80,15.65,15.70,24800,15.47
2014-06-12,15.76,15.93,15.51,15.69,34600,15.46
2014-06-11,15.86,15.97,15.65,15.84,34200,15.61
2014-06-10,15.96,16.00,15.78,15.99,17700,15.76
2014-06-09,15.86,16.00,15.63,16.00,42800,15.77
2014-06-06,15.70,15.88,15.46,15.84,43900,15.61
2014-06-05,15.23,15.70,15.17,15.67,41600,15.44
2014-06-04,15.25,15.37,15.19,15.21,18500,14.99
2014-06-03,15.37,15.56,15.28,15.31,29800,15.09
2014-06-02,15.71,15.79,15.27,15.47,31200,15.24
2014-05-30,15.85,15.86,15.47,15.60,54800,15.37
2014-05-29,15.67,15.82,15.60,15.78,27000,15.55
2014-05-28,15.71,15.85,15.49,15.70,23700,15.47
2014-05-27,15.69,15.85,15.51,15.80,35000,15.57
2014-05-23,15.55,15.68,15.34,15.52,90800,15.29
2014-05-22,15.22,15.57,15.18,15.49,75700,15.26
2014-05-21,15.07,15.26,14.91,15.21,82200,14.99
2014-05-20,15.15,15.16,14.92,15.04,78200,14.82
2014-05-19,15.08,15.35,15.08,15.24,26500,15.02
2014-05-16,14.94,15.13,14.80,15.11,41100,14.89
2014-05-15,14.81,15.07,14.80,15.00,61200,14.78
2014-05-14,15.23,15.23,14.84,14.91,78300,14.69
2014-05-13,15.42,15.50,15.17,15.21,66700,14.99
2014-05-12,15.16,15.51,14.98,15.43,55700,15.20
2014-05-09,14.77,15.22,14.68,15.21,42100,14.99
2014-05-08,15.06,15.13,14.80,14.85,53500,14.63
2014-05-07,15.02,15.13,14.84,15.09,57300,14.87
2014-05-06,15.27,15.50,14.97,15.03,68300,14.81
2014-05-05,15.21,15.41,15.12,15.31,53700,15.09
2014-05-02,15.39,15.53,15.11,15.34,67700,15.12
2014-05-01,15.34,15.42,14.97,15.38,95800,15.15
2014-04-30,15.31,15.51,15.15,15.43,117600,15.20
2014-04-29,15.60,15.60,15.26,15.34,58600,15.12
2014-04-28,15.40,15.59,15.24,15.50,26400,15.27
2014-04-25,15.15,15.50,15.15,15.33,75900,15.11
2014-04-24,15.55,15.55,15.18,15.27,42100,15.05
2014-04-23,15.57,15.72,15.50,15.51,23900,15.28
2014-04-22,15.57,15.66,15.43,15.66,37300,15.43
2014-04-21,15.60,15.66,15.44,15.60,31200,15.37
2014-04-17,15.48,15.60,15.41,15.55,28800,15.32
2014-04-16,15.60,15.60,15.42,15.56,33500,15.33
2014-04-15,15.54,15.56,15.20,15.52,31100,15.29
2014-04-14,15.63,15.63,15.33,15.54,50300,15.31
2014-04-11,15.00,15.67,15.00,15.41,78300,15.18
2014-04-10,15.41,15.69,15.07,15.16,63600,14.94
2014-04-09,15.44,15.50,15.20,15.48,36600,15.25
2014-04-08,15.15,15.64,15.08,15.38,45500,15.15
2014-04-07,14.91,15.23,14.90,15.08,49300,14.86
2014-04-04,15.66,15.66,14.90,14.97,44200,14.75
2014-04-03,15.68,15.68,15.41,15.50,29200,15.27
2014-04-02,15.89,15.89,15.58,15.65,27900,15.42
2014-04-01,15.47,15.90,15.47,15.87,29800,15.64
2014-03-31,15.17,15.65,15.15,15.51,57300,15.28
2014-03-28,15.19,15.49,15.05,15.10,23300,14.88
2014-03-27,15.50,15.59,15.16,15.24,27300,15.02
2014-03-26,16.00,16.00,15.41,15.44,39800,15.21
2014-03-25,15.90,15.99,15.70,15.97,32100,15.64
2014-03-24,15.86,15.97,15.57,15.87,37500,15.54
2014-03-21,15.80,16.00,15.67,15.80,128800,15.47
2014-03-20,15.64,15.80,15.55,15.75,25700,15.42
2014-03-19,15.70,15.74,15.53,15.67,23500,15.34
2014-03-18,15.51,15.75,15.40,15.75,32600,15.42
2014-03-17,15.54,15.66,15.43,15.56,23200,15.24
2014-03-14,15.39,15.59,15.31,15.49,25800,15.17
2014-03-13,15.73,15.74,15.39,15.49,34200,15.17
2014-03-12,15.45,15.64,15.44,15.64,55300,15.31
2014-03-11,15.68,15.73,15.36,15.47,37500,15.15
2014-03-10,15.50,15.74,15.46,15.73,42500,15.40
2014-03-07,15.60,15.67,15.44,15.59,36600,15.27
2014-03-06,15.41,15.60,15.41,15.58,59700,15.26
2014-03-05,15.41,15.51,15.31,15.42,23900,15.10
2014-03-04,15.08,15.64,15.08,15.49,157200,15.17
2014-03-03,14.87,15.00,14.70,14.95,23900,14.64
2014-02-28,14.89,15.12,14.84,14.97,123300,14.66
2014-02-27,14.73,14.98,14.66,14.85,42600,14.54
2014-02-26,14.66,14.98,14.61,14.81,18600,14.50
2014-02-25,14.85,15.06,14.62,14.70,29000,14.39
2014-02-24,15.07,15.28,14.88,14.88,40200,14.57
2014-02-21,15.02,15.19,14.98,15.07,48900,14.76
2014-02-20,14.65,14.99,14.63,14.93,34500,14.62
2014-02-19,15.04,15.16,14.68,14.68,80500,14.37
2014-02-18,15.00,15.21,14.88,15.14,42100,14.82
2014-02-14,14.94,14.99,14.75,14.95,23900,14.64
2014-02-13,14.60,14.95,14.58,14.92,32300,14.61
2014-02-12,14.82,14.95,14.58,14.68,41700,14.37
2014-02-11,14.41,15.00,14.41,14.84,54400,14.53
2014-02-10,14.38,14.54,14.17,14.41,71500,14.11
2014-02-07,14.52,14.56,14.28,14.41,49500,14.11
2014-02-06,14.66,14.66,14.50,14.53,35300,14.23
2014-02-05,14.70,15.00,14.50,14.55,51800,14.25
2014-02-04,14.74,14.77,14.60,14.72,34600,14.41
2014-02-03,15.05,15.05,14.60,14.69,70100,14.38
2014-01-31,14.60,15.07,14.60,15.04,76900,14.73
2014-01-30,14.93,15.03,14.75,14.76,52100,14.45
2014-01-29,14.80,15.15,14.75,14.76,46100,14.45
2014-01-28,15.08,15.19,14.80,15.00,75600,14.69
2014-01-27,15.30,15.59,15.01,15.08,24600,14.77
2014-01-24,15.33,15.55,15.07,15.17,38200,14.85
2014-01-23,15.40,15.53,15.38,15.51,28000,15.19
2014-01-22,15.62,15.64,15.42,15.52,37400,15.20
2014-01-21,15.44,15.64,15.34,15.62,46000,15.29
2014-01-17,15.39,15.41,15.29,15.39,24200,15.07
2014-01-16,15.58,15.58,15.30,15.39,26800,15.07
2014-01-15,15.59,15.65,15.30,15.57,63600,15.25
2014-01-14,15.47,15.60,15.39,15.57,37000,15.25
2014-01-13,15.36,15.48,15.18,15.38,63100,15.06
2014-01-10,15.35,15.48,15.17,15.37,42700,15.05
2014-01-09,15.25,15.50,15.06,15.30,45800,14.98
2014-01-08,15.35,15.46,15.03,15.21,35300,14.89
2014-01-07,14.91,15.50,14.91,15.37,61500,15.05
2014-01-06,14.99,15.12,14.80,14.81,42900,14.50
2014-01-03,15.05,15.27,14.82,14.87,58900,14.56
2014-01-02,15.37,15.37,15.00,15.03,85400,14.72
2013-12-31,15.20,15.50,15.20,15.39,42000,15.07
2013-12-30,15.05,15.24,15.01,15.14,52100,14.82
2013-12-27,15.04,15.06,14.88,15.05,23400,14.74
2013-12-26,15.45,15.45,15.02,15.07,29900,14.66
2013-12-24,15.39,15.39,15.24,15.35,30900,14.93
2013-12-23,15.37,15.45,15.18,15.42,39800,15.00
2013-12-20,15.15,15.41,15.02,15.26,195300,14.84
2013-12-19,15.50,15.50,14.92,15.07,45400,14.66
2013-12-18,15.35,15.50,15.22,15.50,51700,15.08
2013-12-17,15.27,15.42,14.99,15.36,80400,14.94
2013-12-16,15.06,15.33,15.01,15.32,43300,14.90
2013-12-13,14.98,15.17,14.80,15.02,45300,14.61
2013-12-12,15.01,15.06,14.80,14.91,60300,14.50
2013-12-11,15.01,15.15,14.84,15.01,72900,14.60
2013-12-10,14.93,15.07,14.80,15.00,63400,14.59
2013-12-09,15.12,15.12,14.83,15.00,32300,14.59
2013-12-06,15.10,15.18,14.89,15.13,52700,14.72
2013-12-05,14.73,14.99,14.65,14.99,27500,14.58
2013-12-04,15.08,15.08,14.67,14.77,32400,14.37
2013-12-03,14.90,15.14,14.78,15.11,55100,14.70
2013-12-02,15.15,15.15,14.61,14.91,37500,14.50
2013-11-29,15.26,15.26,15.06,15.20,13700,14.78
2013-11-27,15.09,15.24,15.00,15.15,53900,14.74
2013-11-26,14.90,15.12,14.81,15.09,60600,14.68
2013-11-25,14.79,15.00,14.79,14.91,22800,14.50
2013-11-22,14.85,14.97,14.70,14.73,42300,14.33
2013-11-21,14.67,14.93,14.63,14.80,47000,14.40
2013-11-20,14.56,14.65,14.45,14.65,26600,14.25
2013-11-19,14.48,14.63,14.41,14.53,18300,14.13
2013-11-18,14.52,14.64,14.48,14.51,21500,14.11
2013-11-15,14.28,14.50,14.27,14.41,29000,14.02
2013-11-14,14.67,14.67,14.30,14.30,21800,13.91
2013-11-13,14.40,14.72,14.30,14.71,16700,14.31
2013-11-12,14.53,14.62,14.40,14.47,12800,14.07
2013-11-11,14.53,14.69,14.47,14.54,18700,14.14
2013-11-08,14.41,14.97,14.41,14.63,29300,14.23
2013-11-07,14.52,14.59,14.37,14.40,39600,14.01
2013-11-06,14.49,14.55,14.36,14.55,11200,14.15
2013-11-05,14.58,14.70,14.31,14.35,27200,13.96
2013-11-04,14.29,14.89,14.22,14.70,70400,14.30
2013-11-01,14.51,14.65,14.14,14.19,135700,13.80
2013-10-31,14.94,14.98,14.51,14.56,57800,14.16
2013-10-30,15.50,15.50,14.90,14.98,44400,14.57
2013-10-29,15.58,15.67,15.14,15.47,32600,15.05
2013-10-28,15.35,15.59,15.10,15.57,29900,15.14
2013-10-25,15.44,15.44,15.09,15.30,18200,14.88
2013-10-24,15.30,15.64,15.16,15.30,48900,14.88
2013-10-23,15.36,15.61,15.24,15.52,28600,15.10
2013-10-22,15.53,15.61,15.23,15.51,41900,15.09
2013-10-21,15.50,15.51,15.20,15.39,25300,14.97
2013-10-18,15.72,15.75,15.36,15.52,50600,15.10
2013-10-17,15.30,15.62,15.23,15.56,53500,15.14
2013-10-16,15.40,15.48,15.36,15.43,42500,15.01
2013-10-15,15.33,15.43,15.26,15.35,46000,14.93
2013-10-14,15.25,15.47,15.14,15.43,68000,15.01
2013-10-11,14.74,15.31,14.61,15.30,78600,14.88
2013-10-10,14.14,14.78,14.02,14.70,52200,14.30
2013-10-09,13.93,14.13,13.75,13.90,46700,13.52
2013-10-08,13.72,14.13,13.66,13.91,54100,13.53
2013-10-07,13.70,13.91,13.68,13.68,24000,13.31
2013-10-04,13.75,13.91,13.75,13.83,15600,13.45
2013-10-03,14.10,14.10,13.67,13.68,49800,13.31
2013-10-02,14.30,14.63,14.07,14.09,50900,13.71
2013-10-01,14.38,14.46,14.17,14.40,31400,14.01
2013-09-30,14.19,14.47,14.15,14.42,59900,14.03
2013-09-27,14.31,14.37,14.19,14.32,19800,13.93
2013-09-26,14.66,14.66,14.33,14.44,14400,14.05
2013-09-25,15.00,15.00,14.65,14.66,18600,14.26
2013-09-24,14.99,15.15,14.79,15.03,47300,14.52
2013-09-23,15.02,15.07,14.82,15.00,31800,14.49
2013-09-20,14.87,15.25,14.87,15.05,78100,14.54
2013-09-19,14.95,14.95,14.65,14.85,26700,14.35
2013-09-18,14.75,14.99,14.51,14.95,32200,14.44
2013-09-17,14.58,14.74,14.45,14.73,20800,14.23
2013-09-16,14.89,14.89,14.41,14.61,52200,14.12
