Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,21.13,21.13,20.57,20.78,20600,20.78
2014-12-05,21.13,21.40,21.09,21.40,16600,21.40
2014-12-04,21.26,21.45,21.16,21.20,8900,21.20
2014-12-03,21.40,21.51,21.40,21.49,700,21.49
2014-12-02,21.74,21.82,21.49,21.49,13500,21.49
2014-12-01,22.02,22.02,21.47,21.74,51900,21.74
2014-11-28,22.34,22.49,22.32,22.49,4000,22.49
2014-11-26,22.08,22.46,22.08,22.46,111600,22.46
2014-11-25,23.86,23.86,22.80,23.20,248700,23.20
2014-11-24,23.08,23.11,23.08,23.11,400,23.11
2014-11-21,22.76,22.99,22.76,22.99,6900,22.99
2014-11-20,22.86,22.90,22.82,22.82,1000,22.82
2014-11-19,23.30,23.30,22.57,22.59,5100,22.59
2014-11-18,22.75,22.90,22.73,22.90,2100,22.90
2014-11-17,22.73,22.73,22.47,22.51,2400,22.51
2014-11-14,22.78,22.96,22.78,22.96,9200,22.96
2014-11-13,22.87,22.99,22.75,22.79,32200,22.79
2014-11-12,22.54,22.89,22.52,22.89,38600,22.89
2014-11-11,22.64,22.80,22.64,22.77,55000,22.77
2014-11-10,22.14,22.52,22.14,22.49,37700,22.49
2014-11-07,21.93,21.94,21.74,21.81,17900,21.81
2014-11-06,21.84,21.84,21.83,21.83,1400,21.83
2014-11-05,21.96,21.99,21.78,21.78,6300,21.78
2014-11-04,22.63,22.63,22.31,22.47,7000,22.47
2014-11-03,22.67,22.67,22.41,22.41,19200,22.41
2014-10-31,22.75,22.75,22.44,22.63,36800,22.63
2014-10-30,22.56,22.91,22.40,22.91,2400,22.91
2014-10-29,22.91,22.91,22.69,22.85,3800,22.85
2014-10-28,22.55,22.82,22.55,22.68,12700,22.68
2014-10-27,22.74,22.74,22.54,22.64,15700,22.64
2014-10-24,22.57,22.79,22.53,22.70,37000,22.70
2014-10-23,22.71,22.76,21.32,22.32,87300,22.32
2014-10-22,22.74,22.74,22.06,22.34,33700,22.34
2014-10-21,21.88,22.18,21.75,22.18,4900,22.18
2014-10-20,21.43,21.56,21.34,21.42,55300,21.42
2014-10-17,21.38,21.67,21.32,21.53,64000,21.53
2014-10-16,21.43,21.43,21.13,21.32,49500,21.32
2014-10-15,21.56,22.38,21.56,21.98,4600,21.98
2014-10-14,22.56,22.82,22.48,22.65,16100,22.65
2014-10-13,23.33,23.33,22.86,22.87,5400,22.87
2014-10-10,23.67,23.67,23.55,23.58,10900,23.58
2014-10-09,23.92,23.99,23.77,23.89,7500,23.89
2014-10-08,23.88,24.16,23.88,24.15,15400,24.15
2014-10-07,24.58,24.58,24.20,24.44,10300,24.44
2014-10-06,24.29,24.50,24.18,24.22,24400,24.22
2014-10-03,24.20,24.38,24.11,24.19,273800,24.19
2014-10-02,24.25,24.25,24.07,24.25,45000,24.25
2014-10-01,24.39,24.50,24.26,24.36,10800,24.36
2014-09-30,24.70,24.70,24.44,24.44,600,24.44
2014-09-29,24.61,24.70,24.45,24.60,30500,24.60
2014-09-26,24.58,24.79,24.58,24.65,15200,24.65
2014-09-25,24.68,24.82,24.62,24.72,38300,24.72
2014-09-24,24.72,25.03,24.72,25.03,21800,25.03
2014-09-23,24.95,25.07,24.79,24.79,14300,24.79
2014-09-22,25.09,25.09,24.76,24.76,16000,24.76
2014-09-19,25.35,25.44,25.20,25.34,569400,25.34
2014-09-18,25.14,25.44,25.14,25.34,26200,25.34
2014-09-17,24.60,24.84,24.60,24.80,24400,24.80
2014-09-16,24.70,24.70,24.70,24.70,1100,24.70
2014-09-15,24.80,24.86,24.69,24.76,26200,24.76
2014-09-12,24.63,24.77,24.49,24.49,18500,24.49
2014-09-11,24.58,24.85,24.58,24.72,16000,24.72
2014-09-10,24.63,24.64,24.25,24.40,11400,24.40
2014-09-09,24.97,25.19,24.85,24.85,62700,24.85
2014-09-08,25.50,25.50,25.10,25.15,32000,25.15
2014-09-05,25.20,25.45,25.17,25.39,67100,25.39
2014-09-04,25.33,25.37,25.06,25.22,60400,25.22
2014-09-03,25.18,25.30,25.17,25.22,28200,25.22
2014-09-02,24.63,24.99,24.63,24.98,20200,24.98
2014-08-29,24.12,24.25,23.95,24.24,159100,24.24
2014-08-28,24.12,24.28,23.98,24.00,198400,24.00
2014-08-27,24.50,24.50,24.37,24.37,151500,24.37
2014-08-26,24.70,24.70,24.38,24.40,5700,24.40
2014-08-25,24.29,24.50,24.29,24.50,900,24.50
2014-08-22,24.42,24.42,24.15,24.19,1500,24.19
2014-08-21,24.07,24.42,24.07,24.42,14400,24.42
2014-08-20,24.01,24.10,24.00,24.07,900,24.07
2014-08-19,23.80,24.15,23.80,24.07,30100,24.07
2014-08-18,24.03,24.03,24.00,24.00,1300,24.00
2014-08-15,23.98,23.98,23.97,23.97,97600,23.97
2014-08-14,23.89,24.06,23.88,23.96,112400,23.96
2014-08-13,23.89,24.05,23.80,23.80,44700,23.80
2014-08-12,23.68,24.05,23.68,24.05,2100,24.05
2014-08-11,23.57,24.02,23.57,23.96,6700,23.96
2014-08-08,23.43,23.73,23.43,23.73,3700,23.73
2014-08-07,23.24,23.42,23.23,23.24,11400,23.24
2014-08-06,23.59,23.77,23.32,23.40,17800,23.40
2014-08-05,23.70,24.09,23.70,23.76,7600,23.76
2014-08-04,23.88,24.43,23.76,23.98,103600,23.98
2014-08-01,24.15,24.15,23.67,24.12,75100,24.12
2014-07-31,23.94,24.49,23.89,24.18,89200,24.18
2014-07-30,23.61,23.87,23.49,23.52,22100,23.52
2014-07-29,23.80,23.88,23.74,23.88,56700,23.88
2014-07-28,23.25,23.59,23.25,23.44,40700,23.44
2014-07-25,22.86,23.14,22.86,23.00,57000,23.00
2014-07-24,23.16,23.16,23.05,23.08,7800,23.08
2014-07-23,23.19,23.25,23.10,23.11,15800,23.11
2014-07-22,23.25,23.40,23.25,23.26,600,23.26
2014-07-21,23.59,23.59,23.28,23.49,88900,23.49
2014-07-18,24.19,24.19,23.81,24.17,7700,24.17
2014-07-17,24.16,24.22,23.90,23.92,36100,23.92
2014-07-16,24.06,24.06,23.80,23.95,21500,23.95
2014-07-15,23.50,23.70,23.49,23.62,38800,23.62
2014-07-14,23.42,23.42,23.08,23.21,15700,23.21
2014-07-11,22.98,23.14,22.98,23.14,1300,23.14
2014-07-10,22.63,23.12,22.63,22.88,33800,22.88
2014-07-09,22.91,22.92,22.85,22.89,8200,22.89
2014-07-08,22.87,22.89,22.56,22.56,39300,22.56
2014-07-07,22.75,23.17,22.75,22.84,103300,22.84
2014-07-03,22.48,22.50,22.30,22.43,202400,22.43
2014-07-02,21.77,22.50,21.77,22.43,77900,22.43
2014-07-01,21.51,21.51,20.94,21.00,115400,21.00
2014-06-30,21.21,21.29,20.79,20.85,133700,20.85
2014-06-27,22.09,22.09,21.85,21.89,14700,21.89
2014-06-26,22.23,22.23,21.84,21.88,22700,21.88
2014-06-25,22.22,22.22,21.86,21.87,47800,21.87
2014-06-24,21.35,21.49,20.93,21.23,139300,21.23
2014-06-23,22.66,22.66,22.04,22.20,50300,22.20
2014-06-20,23.10,23.37,23.10,23.13,7600,23.13
2014-06-19,23.32,23.54,23.21,23.21,69700,23.21
2014-06-18,22.55,23.21,22.55,23.18,64000,23.18
2014-06-17,22.60,22.88,22.58,22.74,85400,22.74
2014-06-16,23.41,23.41,22.85,23.06,137900,23.06
2014-06-13,24.99,24.99,24.45,24.87,13700,24.87
2014-06-12,24.47,24.78,24.41,24.46,11400,24.46
2014-06-11,24.33,24.34,24.10,24.10,9300,24.10
2014-06-10,24.46,24.47,24.25,24.32,63600,24.32
2014-06-09,24.94,24.94,24.55,24.90,139500,24.90
2014-06-06,26.08,26.34,25.83,26.34,98300,26.34
2014-06-05,26.06,26.06,25.78,25.95,77000,25.95
2014-06-04,25.78,25.78,25.50,25.62,141800,25.62
2014-06-03,26.05,26.05,25.86,26.04,59100,26.04
2014-06-02,26.78,26.78,26.25,26.25,12100,26.21
2014-05-30,25.82,26.10,25.70,25.79,755500,25.75
2014-05-29,25.99,26.08,25.56,25.56,823300,25.52
2014-05-28,24.65,24.80,24.34,24.61,16000,24.57
2014-05-27,25.50,25.51,25.06,25.31,17500,25.27
2014-05-23,24.24,24.38,24.23,24.33,5200,24.29
2014-05-22,24.48,24.48,24.30,24.31,3600,24.27
2014-05-21,24.01,24.29,24.01,24.12,11600,24.08
2014-05-20,23.69,23.69,23.22,23.41,9000,23.37
2014-05-19,24.40,24.42,24.24,24.30,8800,24.26
2014-05-16,25.55,25.59,25.54,25.59,1100,25.55
2014-05-15,25.65,25.71,25.64,25.71,2800,25.67
2014-05-14,26.24,26.35,26.00,26.00,1300,25.96
2014-05-13,25.97,25.99,25.93,25.95,1800,25.91
2014-05-09,25.78,25.82,25.78,25.81,2200,25.77
2014-05-08,25.96,25.96,25.90,25.90,1500,25.86
2014-05-07,25.85,25.94,25.83,25.87,5300,25.83
2014-05-06,25.97,26.07,25.88,25.88,1700,25.84
2014-05-05,25.96,26.07,25.96,26.07,1700,26.03
2014-05-02,25.40,25.40,25.40,25.40,600,25.36
2014-05-01,25.47,25.47,25.43,25.43,597100,25.39
