Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,5.40,5.40,5.36,5.36,600,5.36
2014-12-05,5.40,5.40,5.25,5.40,9800,5.40
2014-12-04,5.38,5.40,5.24,5.28,5300,5.28
2014-12-03,5.41,5.41,5.41,5.41,1000,5.41
2014-12-02,5.32,5.40,5.11,5.40,7900,5.40
2014-12-01,5.33,5.39,5.20,5.35,7400,5.35
2014-11-28,5.44,5.44,5.44,5.44,000,5.44
2014-11-26,5.44,5.44,5.44,5.44,100,5.44
2014-11-25,5.41,5.41,5.32,5.32,3300,5.32
2014-11-24,5.44,5.44,5.44,5.44,200,5.44
2014-11-21,5.60,5.60,5.40,5.44,5000,5.44
2014-11-20,5.58,5.58,5.41,5.49,2400,5.49
2014-11-19,5.41,5.51,5.40,5.50,3000,5.50
2014-11-18,5.45,5.49,5.41,5.49,4500,5.49
2014-11-17,5.49,5.51,5.41,5.45,14900,5.45
2014-11-14,5.50,5.50,5.39,5.50,2700,5.50
2014-11-13,5.51,5.51,5.45,5.50,6700,5.50
2014-11-12,5.50,5.50,5.49,5.50,2700,5.50
2014-11-11,5.51,5.62,5.48,5.48,5500,5.48
2014-11-10,5.50,5.60,5.50,5.60,2200,5.60
2014-11-07,5.50,5.50,5.46,5.46,300,5.46
2014-11-06,5.55,5.55,5.46,5.55,1800,5.55
2014-11-05,5.53,5.64,5.53,5.64,1400,5.64
2014-11-04,5.62,5.64,5.48,5.48,1300,5.48
2014-11-03,5.65,5.65,5.46,5.65,5300,5.65
2014-10-31,5.52,5.65,5.38,5.65,11200,5.65
2014-10-30,5.48,5.55,5.31,5.52,7300,5.52
2014-10-29,5.55,5.55,5.55,5.55,800,5.55
2014-10-28,5.57,5.57,5.57,5.57,1900,5.57
2014-10-27,5.36,5.60,5.35,5.40,6900,5.40
2014-10-24,5.56,5.60,5.35,5.60,37800,5.60
2014-10-23,5.50,5.60,5.25,5.60,3600,5.60
2014-10-22,5.54,5.54,5.54,5.54,2700,5.54
2014-10-21,5.57,5.57,5.50,5.50,1800,5.50
2014-10-20,5.70,5.70,5.70,5.70,000,5.70
2014-10-17,5.60,5.70,5.57,5.70,1900,5.70
2014-10-16,5.56,5.60,5.56,5.60,1800,5.60
2014-10-15,5.60,5.60,5.60,5.60,000,5.60
2014-10-14,5.58,5.60,5.55,5.60,3700,5.60
2014-10-13,5.61,5.63,5.58,5.58,9400,5.58
2014-10-10,5.58,5.58,5.58,5.58,700,5.58
2014-10-09,5.69,5.69,5.56,5.56,300,5.56
2014-10-08,5.64,5.64,5.64,5.64,000,5.64
2014-10-07,5.70,5.70,5.70,5.70,400,5.64
2014-10-06,5.70,5.70,5.70,5.70,2000,5.64
2014-10-03,5.69,5.70,5.69,5.70,1900,5.64
2014-10-02,5.65,5.69,5.64,5.68,3700,5.62
2014-10-01,5.64,5.64,5.55,5.64,3600,5.58
2014-09-30,5.55,5.65,5.55,5.58,3400,5.52
2014-09-29,5.56,5.60,5.55,5.60,7700,5.54
2014-09-26,5.64,5.65,5.55,5.56,12900,5.50
2014-09-25,5.58,5.65,5.58,5.65,1200,5.59
2014-09-24,5.68,5.68,5.55,5.65,11900,5.59
2014-09-23,5.63,5.64,5.55,5.55,28400,5.50
2014-09-22,5.77,5.77,5.77,5.77,1000,5.71
2014-09-19,5.61,5.74,5.61,5.74,4500,5.68
2014-09-18,5.76,5.76,5.76,5.76,000,5.70
2014-09-17,5.64,5.80,5.62,5.76,3900,5.70
2014-09-16,5.75,5.75,5.75,5.75,300,5.69
2014-09-15,5.63,5.73,5.63,5.70,3100,5.64
2014-09-12,5.63,5.77,5.63,5.75,700,5.69
2014-09-11,5.66,5.82,5.66,5.82,2200,5.76
2014-09-10,5.71,5.82,5.67,5.76,2400,5.70
2014-09-09,5.68,5.83,5.68,5.82,600,5.76
2014-09-08,5.66,5.84,5.66,5.84,5200,5.78
2014-09-05,5.79,5.79,5.71,5.79,800,5.73
2014-09-04,5.77,5.79,5.67,5.67,1900,5.61
2014-09-03,5.66,5.78,5.66,5.77,2400,5.71
2014-09-02,5.76,5.80,5.66,5.77,16800,5.71
2014-08-29,5.78,5.79,5.78,5.79,300,5.73
2014-08-28,5.79,5.83,5.72,5.72,11200,5.66
2014-08-27,5.79,5.83,5.70,5.80,21200,5.74
2014-08-26,5.72,5.80,5.70,5.77,4200,5.71
2014-08-25,5.86,5.89,5.70,5.89,1700,5.83
2014-08-22,5.91,5.91,5.70,5.82,22300,5.76
2014-08-21,5.91,5.91,5.91,5.91,1100,5.85
2014-08-20,5.85,5.86,5.81,5.82,8300,5.76
2014-08-19,5.76,5.94,5.75,5.85,25900,5.79
2014-08-18,5.85,5.93,5.85,5.93,3300,5.87
2014-08-15,5.85,5.90,5.80,5.82,4400,5.76
2014-08-14,5.80,5.90,5.80,5.90,30500,5.84
2014-08-13,5.81,5.94,5.79,5.86,36200,5.80
2014-08-12,5.94,5.94,5.80,5.81,6800,5.75
2014-08-11,5.77,5.95,5.75,5.75,5700,5.69
2014-08-08,5.93,5.93,5.65,5.78,28000,5.72
2014-08-07,5.93,5.93,5.58,5.69,3900,5.63
2014-08-06,5.93,5.93,5.80,5.80,4200,5.74
2014-08-05,5.85,5.86,5.80,5.80,2400,5.74
2014-08-04,5.86,5.86,5.86,5.86,400,5.80
2014-08-01,5.90,5.95,5.85,5.94,2300,5.88
2014-07-31,5.86,5.86,5.85,5.85,400,5.79
2014-07-30,5.92,5.95,5.85,5.95,10300,5.89
2014-07-29,5.82,5.87,5.82,5.85,2100,5.79
2014-07-28,5.85,5.94,5.85,5.87,20000,5.81
2014-07-25,5.82,5.88,5.80,5.80,2200,5.74
2014-07-24,5.92,5.92,5.86,5.86,2200,5.80
2014-07-23,5.91,6.03,5.91,6.00,1500,5.94
2014-07-22,6.22,6.22,5.85,5.89,4800,5.83
2014-07-21,5.81,6.16,5.81,5.83,38500,5.77
2014-07-18,5.80,5.84,5.80,5.84,1200,5.78
2014-07-17,5.76,5.89,5.75,5.89,4200,5.83
2014-07-16,5.62,6.00,5.62,5.82,8200,5.76
2014-07-15,5.62,5.75,5.62,5.75,600,5.69
2014-07-14,5.58,5.69,5.54,5.68,4300,5.62
2014-07-11,5.65,5.68,5.53,5.68,29400,5.62
2014-07-10,5.63,5.67,5.50,5.65,11900,5.59
2014-07-09,5.55,5.55,5.55,5.55,000,5.50
2014-07-08,5.61,5.70,5.61,5.61,2800,5.50
2014-07-07,5.52,5.62,5.52,5.62,1900,5.51
2014-07-03,5.60,5.76,5.52,5.52,6200,5.41
2014-07-02,5.51,5.65,5.51,5.65,8500,5.54
2014-07-01,5.56,5.77,5.56,5.67,5600,5.56
2014-06-30,5.65,5.69,5.55,5.56,17400,5.45
2014-06-27,5.50,5.65,5.50,5.65,4500,5.54
2014-06-26,5.53,5.64,5.53,5.54,600,5.43
2014-06-25,5.55,5.62,5.52,5.58,5600,5.47
2014-06-24,5.51,5.65,5.50,5.56,7900,5.45
2014-06-23,5.63,5.77,5.51,5.61,1400,5.50
2014-06-20,5.51,5.75,5.51,5.74,4900,5.63
2014-06-19,5.74,5.74,5.45,5.46,2200,5.35
2014-06-18,5.60,5.75,5.44,5.60,19300,5.49
2014-06-17,5.60,5.70,5.48,5.60,51700,5.49
2014-06-16,5.51,5.68,5.48,5.67,600,5.56
2014-06-13,5.75,5.75,5.54,5.54,300,5.43
2014-06-12,5.45,5.72,5.45,5.71,11200,5.60
2014-06-11,5.59,5.80,5.46,5.73,14100,5.62
2014-06-10,5.55,5.55,5.55,5.55,400,5.44
2014-06-09,5.45,5.45,5.45,5.45,200,5.34
2014-06-06,5.53,5.67,5.48,5.60,13800,5.49
2014-06-05,5.65,5.72,5.59,5.70,2400,5.59
2014-06-04,5.83,5.86,5.52,5.65,7600,5.54
2014-06-03,5.50,5.87,5.50,5.60,2200,5.49
2014-06-02,5.71,5.71,5.39,5.49,8700,5.38
2014-05-30,5.61,5.73,5.50,5.65,6200,5.54
2014-05-29,5.53,5.65,5.53,5.60,11000,5.49
2014-05-28,5.58,5.85,5.58,5.85,1800,5.73
