Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,24.14,24.30,24.14,24.29,600,24.29
2014-12-05,24.05,24.28,24.05,24.16,600,24.16
2014-12-04,24.00,24.05,24.00,24.05,900,24.05
2014-12-03,24.40,24.40,24.40,24.40,000,24.40
2014-12-02,24.40,24.40,24.40,24.40,000,24.40
2014-12-01,24.40,24.40,24.40,24.40,100,24.40
2014-11-28,24.48,24.48,24.48,24.48,000,24.48
2014-11-26,24.48,24.48,24.48,24.48,100,24.48
2014-11-25,24.50,24.50,24.39,24.40,1200,24.40
2014-11-24,24.00,24.00,24.00,24.00,300,24.00
2014-11-21,24.41,24.41,24.41,24.41,000,24.41
2014-11-20,24.50,24.50,24.41,24.41,200,24.41
2014-11-19,24.50,24.50,24.40,24.40,500,24.40
2014-11-18,23.60,24.59,23.60,24.59,500,24.59
2014-11-17,24.76,24.76,24.76,24.76,100,24.76
2014-11-14,24.74,24.74,23.50,23.50,800,23.50
2014-11-13,24.14,24.14,24.10,24.10,400,24.10
2014-11-12,24.64,24.64,24.51,24.51,400,24.51
2014-11-11,24.21,24.21,24.21,24.21,000,24.21
2014-11-10,24.71,24.71,24.02,24.21,1300,24.21
2014-11-07,24.18,24.71,24.18,24.71,3200,24.71
2014-11-06,24.72,24.77,24.72,24.77,500,24.77
2014-11-05,24.72,24.72,24.70,24.70,1200,24.70
2014-11-04,24.42,24.42,24.42,24.42,000,24.42
2014-11-03,24.43,24.43,24.42,24.42,600,24.42
2014-10-31,24.18,24.26,24.15,24.15,900,24.15
2014-10-30,24.24,24.50,23.70,24.45,1000,24.45
2014-10-29,23.70,24.00,23.70,23.90,1000,23.90
2014-10-28,23.58,23.71,23.58,23.71,800,23.71
2014-10-27,23.64,23.64,23.60,23.60,1800,23.60
2014-10-24,23.65,23.65,23.65,23.65,000,23.65
2014-10-23,23.44,23.65,23.44,23.65,700,23.65
2014-10-22,24.39,24.39,23.34,24.25,4200,24.25
2014-10-21,24.10,24.10,24.10,24.10,200,23.84
2014-10-20,24.77,24.77,23.75,23.75,4100,23.49
2014-10-17,24.68,24.68,23.50,23.60,2300,23.35
2014-10-16,23.11,23.82,23.11,23.44,1400,23.19
2014-10-15,24.13,24.13,23.00,23.00,3300,22.75
2014-10-14,23.95,23.95,23.95,23.95,600,23.69
2014-10-13,23.75,23.75,23.56,23.65,2100,23.39
2014-10-10,23.59,23.60,23.50,23.55,1200,23.30
2014-10-09,23.75,24.46,23.75,24.01,1200,23.75
2014-10-08,24.04,24.04,23.75,23.75,500,23.49
2014-10-07,23.50,23.86,23.50,23.72,3900,23.46
2014-10-06,24.00,24.67,23.55,23.76,7300,23.50
2014-10-03,23.91,24.90,23.91,24.00,7100,23.74
2014-10-02,24.14,24.29,23.97,23.97,2200,23.71
2014-10-01,24.44,24.44,23.98,24.39,400,24.13
2014-09-30,24.94,24.94,23.97,23.97,7800,23.71
2014-09-29,24.55,24.95,24.55,24.95,2000,24.68
2014-09-26,24.50,24.55,24.50,24.55,900,24.29
2014-09-25,24.54,24.54,24.51,24.52,1100,24.26
2014-09-24,24.99,24.99,24.50,24.50,1300,24.24
2014-09-23,24.55,24.65,24.50,24.65,1600,24.38
2014-09-22,24.88,24.88,24.64,24.70,3300,24.43
2014-09-19,24.80,24.80,24.51,24.80,5500,24.53
2014-09-18,24.50,24.61,24.50,24.61,3500,24.34
2014-09-17,24.61,24.71,24.61,24.65,4000,24.38
2014-09-16,24.79,24.79,24.79,24.79,300,24.52
2014-09-15,24.53,24.61,24.53,24.61,600,24.34
2014-09-12,24.53,24.62,24.45,24.45,4900,24.19
2014-09-11,24.27,24.66,24.20,24.43,4100,24.17
2014-09-10,24.13,24.71,24.07,24.15,2500,23.89
2014-09-09,23.96,24.80,23.96,24.80,400,24.53
2014-09-08,24.65,24.82,23.96,24.11,1200,23.85
2014-09-05,24.84,24.86,24.77,24.82,1400,24.55
2014-09-04,24.93,24.93,24.55,24.68,700,24.41
2014-09-03,24.94,24.94,24.94,24.94,100,24.67
2014-09-02,24.72,24.99,24.72,24.99,3200,24.72
2014-08-29,24.45,24.71,24.40,24.55,3800,24.29
2014-08-28,24.40,24.48,24.40,24.46,700,24.20
2014-08-27,24.33,24.50,24.32,24.50,500,24.24
2014-08-26,24.99,24.99,24.30,24.30,1000,24.04
2014-08-25,24.64,24.65,24.61,24.65,1500,24.38
2014-08-22,24.63,24.98,24.60,24.76,1800,24.49
2014-08-21,24.99,24.99,24.79,24.79,600,24.52
2014-08-20,24.68,24.80,24.60,24.80,1200,24.53
2014-08-19,24.35,24.35,24.30,24.30,600,24.04
2014-08-18,25.00,25.00,24.99,24.99,1100,24.72
2014-08-15,24.90,24.90,24.37,24.37,400,24.11
2014-08-14,24.92,24.92,24.92,24.92,500,24.65
2014-08-13,24.99,24.99,24.31,24.31,2000,24.05
2014-08-12,24.06,24.94,24.06,24.94,700,24.67
2014-08-11,24.62,24.99,24.62,24.85,900,24.58
2014-08-08,25.00,25.00,24.94,25.00,700,24.73
2014-08-07,25.00,25.48,24.99,25.00,2400,24.73
2014-08-06,24.74,24.74,24.34,24.72,1100,24.45
2014-08-05,25.00,25.00,23.70,24.67,800,24.40
2014-08-04,25.29,25.49,24.75,24.75,1000,24.48
2014-08-01,24.51,24.99,23.55,24.79,3900,24.52
