Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,35.80,37.50,35.51,36.08,1477600,36.08
2014-12-05,36.00,36.29,35.27,35.72,696900,35.72
2014-12-04,36.33,36.85,35.50,35.64,1007100,35.64
2014-12-03,36.22,36.86,35.25,35.77,996100,35.77
2014-12-02,38.08,38.40,35.50,36.37,1648200,36.37
2014-12-01,37.94,39.14,37.10,38.12,2725200,38.12
2014-11-28,36.77,37.96,35.91,37.68,2369500,37.68
2014-11-26,35.80,35.84,34.82,35.02,918800,35.02
2014-11-25,36.80,36.80,34.80,35.41,2054900,35.41
2014-11-24,35.45,36.80,34.63,36.71,2224200,36.71
2014-11-21,35.80,36.10,33.85,34.54,1870000,34.54
2014-11-20,32.75,34.95,32.38,33.95,3113800,33.95
2014-11-19,38.53,39.47,32.88,33.21,9079800,33.21
2014-11-18,33.73,39.64,33.50,37.05,12834600,37.05
2014-11-17,30.29,32.88,30.00,32.68,5637700,32.68
2014-11-14,27.00,31.19,26.50,30.00,21556100,30.00
