Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,2.58,2.79,2.58,2.68,25500,2.68
2014-12-05,2.71,2.80,2.55,2.57,23400,2.57
2014-12-04,2.35,2.67,2.35,2.64,44900,2.64
2014-12-03,2.34,2.34,2.34,2.34,100,2.34
2014-12-02,2.28,2.35,2.28,2.31,8000,2.31
2014-12-01,2.32,2.32,2.28,2.28,55700,2.28
2014-11-28,2.37,2.37,2.37,2.37,2200,2.37
2014-11-26,2.40,2.40,2.29,2.29,200,2.29
2014-11-25,2.46,2.46,2.28,2.33,4400,2.33
2014-11-24,2.32,2.32,2.32,2.32,1000,2.32
2014-11-21,2.43,2.43,2.28,2.31,4200,2.31
2014-11-20,2.46,2.46,2.30,2.30,2000,2.30
2014-11-19,2.44,2.44,2.28,2.36,138400,2.36
2014-11-18,2.43,2.43,2.30,2.30,100500,2.30
2014-11-17,2.39,2.39,2.29,2.30,266200,2.30
2014-11-14,2.52,2.52,2.39,2.39,300,2.39
2014-11-13,2.41,2.47,2.38,2.47,1200,2.47
2014-11-12,2.50,2.50,2.45,2.48,5400,2.48
2014-11-11,2.49,2.54,2.42,2.46,3800,2.46
2014-11-10,2.50,2.50,2.44,2.45,3700,2.45
2014-11-07,2.40,2.45,2.36,2.37,7800,2.37
2014-11-06,2.47,2.47,2.40,2.40,6900,2.40
2014-11-05,2.41,2.43,2.28,2.32,7100,2.32
2014-11-04,2.35,2.42,2.32,2.41,4000,2.41
2014-11-03,2.45,2.45,2.32,2.32,2700,2.32
2014-10-31,2.59,2.59,2.19,2.44,12400,2.44
2014-10-30,2.24,2.35,2.20,2.26,6400,2.26
2014-10-29,2.50,2.50,2.19,2.22,21900,2.22
2014-10-28,2.51,2.62,2.27,2.35,20400,2.35
2014-10-27,2.10,2.62,2.08,2.38,71900,2.38
2014-10-24,2.08,2.08,2.02,2.02,2300,2.02
2014-10-23,2.21,2.21,2.05,2.18,4400,2.18
2014-10-22,2.22,2.22,2.13,2.20,4100,2.20
2014-10-21,2.22,2.35,2.20,2.35,4900,2.35
2014-10-20,2.24,2.24,2.15,2.15,4100,2.15
2014-10-17,2.30,2.30,2.18,2.23,15400,2.23
2014-10-16,2.17,2.28,1.98,2.25,38800,2.25
2014-10-15,2.25,2.25,2.10,2.13,27600,2.13
2014-10-14,2.08,2.32,1.90,2.32,97300,2.32
2014-10-13,2.70,3.15,2.05,2.15,590800,2.15
2014-10-10,2.75,2.76,2.63,2.63,28700,2.63
2014-10-09,2.72,2.76,2.72,2.76,32900,2.76
2014-10-08,2.90,2.90,2.72,2.72,96200,2.72
2014-10-07,2.89,2.90,2.85,2.87,2500,2.87
