Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,49.65,49.72,49.58,49.71,129800,49.71
2014-12-05,49.65,49.65,49.57,49.58,146800,49.58
2014-12-04,49.77,49.81,49.73,49.81,155800,49.81
2014-12-03,49.75,49.76,49.66,49.73,141300,49.73
2014-12-02,49.77,49.79,49.72,49.72,197800,49.72
2014-12-01,49.92,49.92,49.92,49.92,000,49.92
2014-11-28,49.90,49.96,49.88,49.92,16500,49.92
2014-11-26,49.89,49.90,49.83,49.89,113300,49.89
2014-11-25,49.78,49.85,49.74,49.84,315900,49.84
2014-11-24,49.70,49.76,49.69,49.75,285200,49.75
2014-11-21,49.66,49.76,49.65,49.76,225000,49.76
2014-11-20,49.71,49.71,49.60,49.65,224900,49.65
2014-11-19,49.60,49.63,49.58,49.62,214400,49.62
2014-11-18,49.68,49.68,49.63,49.67,133000,49.67
2014-11-17,49.62,49.64,49.58,49.60,123100,49.60
2014-11-14,49.58,49.65,49.50,49.65,164100,49.65
2014-11-13,49.57,49.62,49.56,49.61,221300,49.61
2014-11-12,49.58,49.64,49.53,49.59,241100,49.59
2014-11-11,49.56,49.56,49.48,49.54,150200,49.54
2014-11-10,49.62,49.62,49.54,49.54,305300,49.54
2014-11-07,49.50,49.63,49.50,49.63,236100,49.63
2014-11-06,49.55,49.55,49.51,49.51,71400,49.51
2014-11-05,49.70,49.70,49.47,49.53,162800,49.53
2014-11-04,49.55,49.58,49.49,49.54,53000,49.54
2014-11-03,49.59,49.59,49.50,49.54,41400,49.54
2014-10-31,49.63,49.63,49.58,49.63,36100,49.63
2014-10-30,49.70,49.70,49.62,49.66,66900,49.66
2014-10-29,49.73,49.74,49.55,49.63,188800,49.63
2014-10-28,49.70,49.75,49.68,49.69,222400,49.69
2014-10-27,49.81,50.14,49.74,49.76,18200,49.76
2014-10-24,49.78,49.80,49.76,49.78,110000,49.78
2014-10-23,49.77,49.79,49.72,49.73,111600,49.73
2014-10-22,49.87,49.87,49.86,49.86,331000,49.86
2014-10-21,49.87,49.92,49.87,49.92,89600,49.92
2014-10-20,49.94,49.98,49.91,49.95,164800,49.95
2014-10-17,49.75,49.97,49.75,49.94,273600,49.94
2014-10-16,50.11,50.11,50.05,50.07,528900,50.07
