Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,90.46,90.96,90.26,90.66,32600,90.66
2014-12-05,90.43,90.46,89.99,90.26,141200,90.26
2014-12-04,90.03,90.69,90.03,90.40,150400,90.40
2014-12-03,89.77,90.21,89.68,89.97,124600,89.97
2014-12-02,90.14,90.24,89.79,89.80,56900,89.80
2014-12-01,91.43,91.51,90.58,90.71,46600,90.71
2014-11-28,91.35,91.59,91.21,91.46,56200,91.14
2014-11-26,91.47,91.47,91.14,91.28,167200,90.96
2014-11-25,90.55,91.00,90.52,90.87,250100,90.55
2014-11-24,90.48,90.61,90.25,90.37,200600,90.06
2014-11-21,90.15,90.35,89.87,90.31,58400,90.00
2014-11-20,90.00,90.00,89.50,89.82,33800,89.51
2014-11-19,89.28,89.65,89.22,89.44,143400,89.13
2014-11-18,89.98,89.98,89.57,89.59,335300,89.28
2014-11-17,90.42,90.55,89.77,89.98,127500,89.67
2014-11-14,90.05,90.31,89.91,90.12,41400,89.81
2014-11-13,90.03,90.21,89.84,90.11,128200,89.80
2014-11-12,90.63,90.64,90.03,90.23,146600,89.92
2014-11-11,90.25,90.62,90.10,90.43,78400,90.12
2014-11-10,90.80,90.80,90.21,90.28,108800,89.97
2014-11-07,90.53,90.92,90.32,90.92,126900,90.60
2014-11-06,90.43,90.70,90.18,90.29,255700,89.98
2014-11-05,90.65,90.87,90.50,90.77,152200,90.45
2014-11-04,90.81,91.23,90.73,90.79,106100,90.47
2014-11-03,90.99,90.99,90.18,90.87,116400,90.55
2014-10-31,91.30,91.47,90.99,91.24,51000,90.60
2014-10-30,91.62,91.80,91.11,91.32,96800,90.68
2014-10-29,90.89,91.47,90.74,91.34,172400,90.70
2014-10-28,91.40,91.40,90.88,91.02,262700,90.38
2014-10-27,91.37,91.57,91.20,91.36,57800,90.72
2014-10-24,91.36,91.59,91.10,91.35,152600,90.71
2014-10-23,91.79,91.79,90.85,91.10,120600,90.46
2014-10-22,91.56,91.85,91.40,91.85,115400,91.20
2014-10-21,91.89,92.00,91.66,91.67,65800,91.02
2014-10-20,91.84,92.05,91.75,91.99,56400,91.34
2014-10-17,91.86,91.86,91.35,91.61,82200,90.96
2014-10-16,93.04,93.04,91.51,91.87,341300,91.22
2014-10-15,93.21,95.07,91.83,92.50,408100,91.85
2014-10-14,91.92,92.10,91.42,92.00,216200,91.35
2014-10-13,91.38,91.91,91.34,91.73,83700,91.08
2014-10-10,91.24,91.46,91.01,91.46,117400,90.81
2014-10-09,91.10,91.50,91.05,91.21,64700,90.57
2014-10-08,91.52,91.62,90.78,91.60,129700,90.95
2014-10-07,90.78,91.28,90.60,91.24,136500,90.60
2014-10-06,90.32,90.72,90.28,90.41,106600,89.77
2014-10-03,90.06,90.54,89.88,90.48,89400,89.84
2014-10-02,90.32,90.32,89.82,89.82,132100,89.19
2014-10-01,89.73,90.47,89.59,90.43,185600,89.79
2014-09-30,89.81,89.87,89.52,89.52,59500,88.56
2014-09-29,89.71,89.74,89.52,89.66,62900,88.70
2014-09-26,89.16,89.60,89.00,89.49,85600,88.53
2014-09-25,89.18,89.71,89.18,89.62,178700,88.66
2014-09-24,89.50,89.52,89.03,89.09,41300,88.14
2014-09-23,89.34,89.58,89.21,89.54,52400,88.58
2014-09-22,89.34,89.47,89.07,89.21,56700,88.25
2014-09-19,88.83,89.29,88.44,89.28,248500,88.32
2014-09-18,88.41,88.54,88.15,88.26,67000,87.31
2014-09-17,88.79,88.79,88.09,88.11,148700,87.17
2014-09-16,88.56,88.83,88.27,88.40,164700,87.45
2014-09-15,89.10,89.12,88.49,88.53,593600,87.58
2014-09-12,88.79,89.16,88.59,88.75,66800,87.80
2014-09-11,89.98,89.98,89.52,89.52,50800,88.56
2014-09-10,89.81,89.88,89.66,89.87,111600,88.91
2014-09-09,90.54,90.55,90.20,90.24,42800,89.27
2014-09-08,90.92,91.01,90.32,90.43,144900,89.46
2014-09-05,90.55,90.98,90.36,90.49,160400,89.52
2014-09-04,91.06,91.18,90.65,90.73,179500,89.76
2014-09-03,91.16,91.41,90.91,91.36,315800,90.38
2014-09-02,91.59,91.59,91.19,91.29,155600,90.31
2014-08-29,92.39,92.71,92.32,92.59,352500,91.27
2014-08-28,92.40,92.72,92.36,92.48,46900,91.16
2014-08-27,91.76,92.08,91.56,92.08,197100,90.76
2014-08-26,91.86,91.86,91.52,91.60,46900,90.29
2014-08-25,91.52,91.70,91.36,91.68,72100,90.37
2014-08-22,91.07,91.29,90.67,91.26,99400,89.96
2014-08-21,90.55,91.13,90.41,91.02,40700,89.72
2014-08-20,90.50,90.59,90.25,90.45,53300,89.16
2014-08-19,90.91,91.00,90.51,90.61,79600,89.32
2014-08-18,91.29,91.29,90.63,90.82,102800,89.52
2014-08-15,90.93,91.61,90.86,91.16,104400,89.86
2014-08-14,90.59,90.74,90.18,90.57,112900,89.28
2014-08-13,89.85,90.39,89.70,90.20,162500,88.91
2014-08-12,90.16,90.16,89.75,89.85,82100,88.57
2014-08-11,90.23,90.38,90.07,90.30,84700,89.01
2014-08-08,90.68,90.71,90.25,90.31,51300,89.02
2014-08-07,90.36,90.56,90.02,90.22,107100,88.93
2014-08-06,90.44,90.44,89.95,89.99,68000,88.70
2014-08-05,89.87,90.14,89.62,90.07,52600,88.78
2014-08-04,90.39,90.39,90.02,90.14,47500,88.85
2014-08-01,89.08,90.47,89.08,90.09,280500,88.80
2014-07-31,89.91,90.14,89.62,90.00,240200,88.39
2014-07-30,91.06,91.06,90.22,90.30,84000,88.68
2014-07-29,91.17,91.29,90.90,91.13,54100,89.50
2014-07-28,91.07,91.20,90.81,90.97,151600,89.34
2014-07-25,90.69,91.12,90.69,90.99,63700,89.36
2014-07-24,90.58,90.58,90.23,90.32,48100,88.70
2014-07-23,91.01,91.08,90.87,90.98,95200,89.35
2014-07-22,90.79,90.90,90.54,90.84,124200,89.21
2014-07-21,90.65,90.84,90.59,90.73,58900,89.11
2014-07-18,90.62,90.77,90.13,90.40,32200,88.78
2014-07-17,90.45,90.80,90.22,90.74,125700,89.12
2014-07-16,89.90,90.16,89.73,89.95,98600,88.34
2014-07-15,89.58,90.02,89.39,89.83,44200,88.22
2014-07-14,89.91,89.98,89.68,89.81,42300,88.20
2014-07-11,89.92,90.09,89.73,90.09,93000,88.48
2014-07-10,89.97,90.00,89.58,89.68,116400,88.07
2014-07-09,89.53,90.02,89.50,89.84,25500,88.23
2014-07-08,89.56,89.65,89.40,89.58,92900,87.98
2014-07-07,88.75,89.16,88.75,89.05,65800,87.46
2014-07-03,88.32,88.75,88.14,88.59,68900,87.00
2014-07-02,89.24,89.24,88.51,88.71,205000,87.12
2014-07-01,89.60,89.80,89.41,89.53,36300,87.93
2014-06-30,90.22,90.36,90.02,90.25,68500,88.30
