Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,26.76,26.83,26.39,26.46,102200,26.46
2014-12-05,26.81,26.85,26.75,26.79,86600,26.79
2014-12-04,26.69,26.74,26.64,26.64,148600,26.64
2014-12-03,26.80,26.84,26.74,26.83,68000,26.83
2014-12-02,26.45,26.63,26.45,26.56,246100,26.56
2014-12-01,26.51,26.52,26.43,26.52,55300,26.52
2014-11-28,26.82,26.88,26.70,26.70,2000,26.70
2014-11-26,26.88,26.96,26.87,26.95,85400,26.95
2014-11-25,26.91,26.97,26.87,26.93,194900,26.93
2014-11-24,26.77,26.94,26.76,26.92,118400,26.92
2014-11-21,26.90,26.92,26.79,26.83,151600,26.83
2014-11-20,26.46,26.72,26.46,26.72,155000,26.72
2014-11-19,26.51,26.56,26.43,26.46,164800,26.46
2014-11-18,26.67,26.68,26.63,26.64,121200,26.64
2014-11-17,26.57,26.58,26.49,26.53,77000,26.53
2014-11-14,26.59,26.60,26.59,26.60,91400,26.60
2014-11-13,26.69,26.73,26.51,26.56,116100,26.56
2014-11-12,26.55,26.71,26.55,26.71,147000,26.71
2014-11-11,26.61,26.62,26.55,26.57,93300,26.57
2014-11-10,26.57,26.60,26.47,26.55,269700,26.55
2014-11-07,26.53,26.56,26.45,26.50,194500,26.50
2014-11-06,26.45,26.49,26.41,26.49,58500,26.49
2014-11-05,26.46,26.46,26.31,26.38,16800,26.38
2014-11-04,26.37,26.37,26.18,26.34,33100,26.34
2014-11-03,26.44,26.52,26.27,26.29,4600,26.29
2014-10-31,26.36,26.36,26.29,26.35,18700,26.35
2014-10-30,25.87,26.06,25.84,26.02,22900,26.02
2014-10-29,26.05,26.05,25.79,25.92,9000,25.92
2014-10-28,25.60,25.93,25.60,25.93,12200,25.93
2014-10-27,25.24,25.39,25.24,25.38,4400,25.38
2014-10-24,25.41,25.44,25.41,25.41,2500,25.41
2014-10-23,25.45,25.56,25.41,25.43,65100,25.43
2014-10-22,25.42,25.47,25.11,25.11,22700,25.11
2014-10-21,25.18,25.37,25.16,25.31,115900,25.31
2014-10-20,24.58,24.81,24.58,24.81,22100,24.81
2014-10-17,24.70,24.79,24.54,24.65,18100,24.65
2014-10-16,24.52,24.63,24.35,24.50,6800,24.50
2014-10-15,23.57,24.51,23.53,24.47,19600,24.47
2014-10-14,24.44,24.63,24.36,24.36,14400,24.36
2014-10-13,24.51,24.67,24.33,24.33,21300,24.33
2014-10-10,24.69,24.79,24.46,24.46,35300,24.46
2014-10-09,25.05,25.11,24.77,24.80,14900,24.80
2014-10-08,24.87,25.31,24.75,25.31,21500,25.31
2014-10-07,25.12,25.16,24.93,24.93,23100,24.93
2014-10-06,25.42,25.42,25.23,25.25,22400,25.25
2014-10-03,25.34,25.39,25.34,25.35,11500,25.35
2014-10-02,25.13,25.28,24.96,25.19,23300,25.19
2014-10-01,25.40,25.49,25.06,25.12,12700,25.12
2014-09-30,25.56,25.66,25.46,25.49,8300,25.49
2014-09-29,25.60,25.64,25.57,25.64,11200,25.64
2014-09-26,25.61,25.69,25.59,25.68,5300,25.68
2014-09-25,25.55,25.57,25.53,25.55,11500,25.55
2014-09-24,25.67,25.92,25.64,25.92,11100,25.92
2014-09-23,25.84,25.97,25.72,25.72,19300,25.72
2014-09-22,26.14,26.14,25.94,25.94,12100,25.94
2014-09-19,26.45,26.48,26.18,26.27,98900,26.27
2014-09-18,26.31,26.42,26.31,26.39,17800,26.39
2014-09-17,26.33,26.44,26.32,26.38,7100,26.38
2014-09-16,26.20,26.41,26.20,26.38,5900,26.38
2014-09-15,26.35,26.37,26.29,26.32,5600,26.23
2014-09-12,26.52,26.52,26.36,26.39,4800,26.30
2014-09-11,26.56,26.66,26.56,26.62,16900,26.52
2014-09-10,26.43,26.57,26.43,26.51,4900,26.42
2014-09-09,26.54,26.62,26.47,26.51,10100,26.42
2014-09-08,26.69,26.73,26.64,26.70,10100,26.60
2014-09-05,26.57,26.75,26.57,26.75,12300,26.65
2014-09-04,26.90,26.90,26.70,26.70,14600,26.60
2014-09-03,26.84,26.92,26.75,26.77,15900,26.67
2014-09-02,26.85,26.85,26.70,26.82,18800,26.72
2014-08-29,26.64,26.76,26.64,26.71,7600,26.61
2014-08-28,26.62,26.69,26.60,26.68,10400,26.58
2014-08-27,26.72,26.73,26.65,26.65,13800,26.55
2014-08-26,26.62,26.72,26.62,26.70,18600,26.60
2014-08-25,26.59,26.63,26.52,26.56,78900,26.47
2014-08-22,26.57,26.60,26.54,26.58,13700,26.49
2014-08-21,26.46,26.53,26.43,26.53,9800,26.44
2014-08-20,26.39,26.51,26.39,26.51,21400,26.42
2014-08-19,26.42,26.48,26.42,26.48,37600,26.39
2014-08-18,26.22,26.32,26.22,26.30,23500,26.21
2014-08-15,26.24,26.24,25.97,26.06,13600,25.97
2014-08-14,26.08,26.13,26.02,26.12,33400,26.03
2014-08-13,25.97,26.05,25.97,26.02,12800,25.93
2014-08-12,26.00,26.00,25.82,25.86,20700,25.77
2014-08-11,25.95,26.10,25.95,26.02,10700,25.93
2014-08-08,25.60,25.85,25.60,25.84,13000,25.75
2014-08-07,25.78,25.83,25.56,25.57,10300,25.48
2014-08-06,25.70,25.88,25.70,25.79,8600,25.70
2014-08-05,25.73,25.84,25.63,25.68,44900,25.59
2014-08-04,25.67,25.84,25.60,25.84,29500,25.75
2014-08-01,25.60,25.69,25.52,25.67,77900,25.58
2014-07-31,25.76,25.76,25.64,25.64,12800,25.55
2014-07-30,26.10,26.13,26.04,26.07,9800,25.98
2014-07-29,26.20,26.28,26.09,26.11,13400,26.02
2014-07-28,26.10,26.19,26.07,26.17,22600,26.08
2014-07-25,26.23,26.24,26.17,26.19,20500,26.10
2014-07-24,26.41,26.47,26.37,26.39,12000,26.30
2014-07-23,26.34,26.41,26.34,26.38,55600,26.29
2014-07-22,26.41,26.43,26.38,26.39,9200,26.30
2014-07-21,26.26,26.26,26.11,26.21,18800,26.12
2014-07-18,26.09,26.32,26.09,26.29,15700,26.20
2014-07-17,26.21,26.24,26.17,26.17,3300,26.08
2014-07-16,26.31,26.34,26.27,26.29,6100,26.20
2014-07-15,26.44,26.44,26.22,26.22,31000,26.13
2014-07-14,26.36,26.41,26.36,26.37,23800,26.28
2014-07-11,26.20,26.29,26.19,26.26,19400,26.17
2014-07-10,26.15,26.34,26.10,26.26,35400,26.17
2014-07-09,26.41,26.45,26.37,26.44,29600,26.35
2014-07-08,26.35,26.45,26.33,26.38,16700,26.29
2014-07-07,26.62,26.63,26.53,26.53,25100,26.44
2014-07-03,26.72,26.80,26.72,26.80,16500,26.70
2014-07-02,26.72,26.72,26.60,26.64,24100,26.54
2014-07-01,26.78,26.81,26.72,26.72,10600,26.62
2014-06-30,26.48,26.53,26.48,26.53,63100,26.44
2014-06-27,26.31,26.47,26.31,26.47,119100,26.38
2014-06-26,26.23,26.33,26.23,26.33,79600,26.24
2014-06-25,26.22,26.39,26.22,26.39,123700,26.30
2014-06-24,26.47,26.56,26.25,26.30,40900,26.21
