Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,16.50,16.71,16.24,16.35,2888900,16.35
2014-12-05,16.03,16.59,16.00,16.39,2979200,16.39
2014-12-04,15.75,16.00,15.55,15.71,2738400,15.71
2014-12-03,15.51,16.23,15.38,15.76,2718200,15.76
2014-12-02,15.19,15.74,15.19,15.48,2380100,15.48
2014-12-01,15.10,15.41,14.93,15.14,2173100,15.14
2014-11-28,15.62,15.66,15.13,15.19,607300,15.19
2014-11-26,15.24,15.62,15.15,15.61,918100,15.61
2014-11-25,15.48,15.55,15.10,15.24,1463000,15.24
2014-11-24,15.66,15.75,15.35,15.43,1642100,15.43
2014-11-21,15.55,15.95,15.49,15.55,1508100,15.55
2014-11-20,15.30,15.37,15.02,15.31,1812200,15.31
2014-11-19,15.36,15.51,14.85,15.44,2603600,15.44
2014-11-18,15.42,16.06,15.31,15.41,2678500,15.41
2014-11-17,15.69,15.75,15.19,15.41,3168800,15.41
2014-11-14,16.46,16.54,15.80,15.85,2768700,15.85
2014-11-13,16.13,16.66,15.95,16.50,2792800,16.50
2014-11-12,15.84,16.14,15.73,16.03,2988600,16.03
2014-11-11,15.70,15.99,15.50,15.96,2160200,15.96
2014-11-10,15.63,16.02,15.44,15.64,3497500,15.64
2014-11-07,15.59,15.80,15.31,15.60,4805200,15.60
2014-11-06,15.47,15.75,15.25,15.71,5446900,15.63
2014-11-05,15.32,15.69,15.13,15.40,3633200,15.32
2014-11-04,15.00,15.18,14.78,15.10,4704900,15.02
2014-11-03,14.87,15.31,14.60,15.10,6401900,15.02
2014-10-31,13.17,14.99,13.03,14.75,20031700,14.67
2014-10-30,11.56,11.80,11.36,11.71,2224600,11.65
2014-10-29,11.50,11.72,11.22,11.67,2686700,11.61
2014-10-28,11.22,11.53,11.15,11.51,2376800,11.45
2014-10-27,11.23,11.27,10.93,11.10,1484400,11.04
2014-10-24,11.37,11.72,11.12,11.35,1552700,11.29
2014-10-23,11.24,11.56,11.14,11.39,1863900,11.33
2014-10-22,11.30,11.48,10.96,11.08,1902600,11.02
2014-10-21,10.98,11.50,10.82,11.33,2898600,11.27
2014-10-20,10.25,10.88,10.22,10.85,2688200,10.79
2014-10-17,10.72,10.81,10.28,10.31,2233200,10.26
2014-10-16,10.17,10.71,10.01,10.50,1779100,10.45
2014-10-15,9.87,10.55,9.57,10.45,3357900,10.40
2014-10-14,10.02,10.53,9.83,10.09,2583100,10.04
2014-10-13,10.33,10.45,9.92,9.92,3108000,9.87
2014-10-10,10.80,11.17,10.30,10.35,2355300,10.30
2014-10-09,11.47,11.55,10.89,10.89,2019800,10.83
2014-10-08,10.88,11.56,10.63,11.55,4879600,11.49
2014-10-07,11.00,11.02,10.72,10.89,2496100,10.83
2014-10-06,11.07,11.20,10.72,11.10,1812800,11.04
2014-10-03,11.28,11.42,10.94,11.01,2852400,10.95
2014-10-02,11.16,11.32,10.72,11.16,2044700,11.10
2014-10-01,11.38,11.43,11.13,11.20,1870900,11.14
2014-09-30,11.56,11.67,11.34,11.38,1935700,11.32
2014-09-29,11.45,11.66,11.21,11.60,1911400,11.54
2014-09-26,11.28,11.79,11.25,11.69,1501300,11.63
2014-09-25,11.41,11.60,11.19,11.28,1437900,11.22
2014-09-24,11.34,11.51,11.24,11.45,1090400,11.39
2014-09-23,11.48,11.50,11.19,11.30,2166200,11.24
2014-09-22,11.82,11.89,11.33,11.50,2370800,11.44
2014-09-19,12.33,12.39,11.84,11.91,1785800,11.85
2014-09-18,12.02,12.30,11.80,12.29,1655900,12.23
2014-09-17,11.93,12.21,11.80,11.91,1323400,11.85
2014-09-16,12.03,12.15,11.55,11.89,2428800,11.83
2014-09-15,12.50,12.50,12.01,12.02,2196200,11.96
2014-09-12,12.32,12.54,12.23,12.51,2505700,12.45
2014-09-11,12.32,12.64,12.20,12.33,2770400,12.27
2014-09-10,11.89,12.54,11.88,12.42,3344500,12.36
2014-09-09,12.03,12.16,11.77,11.90,2460300,11.84
2014-09-08,11.93,12.26,11.78,12.07,2829000,12.01
2014-09-05,11.97,12.03,11.69,12.00,1536700,11.94
2014-09-04,11.65,12.24,11.65,12.04,3570100,11.98
2014-09-03,11.89,12.20,11.62,11.65,2389700,11.59
2014-09-02,11.85,12.15,11.80,11.85,2415500,11.79
2014-08-29,11.36,11.89,11.35,11.83,2644400,11.77
2014-08-28,11.26,11.53,11.12,11.35,1233400,11.29
2014-08-27,11.69,11.71,11.36,11.41,1595200,11.35
2014-08-26,11.15,11.69,11.12,11.63,3152900,11.57
2014-08-25,11.06,11.54,11.02,11.13,2127900,11.07
2014-08-22,10.98,11.17,10.88,10.96,1408400,10.90
2014-08-21,10.74,11.11,10.64,11.00,2285200,10.94
2014-08-20,10.64,10.95,10.51,10.75,2607400,10.70
2014-08-19,10.65,10.93,10.65,10.66,2734800,10.61
2014-08-18,10.57,10.81,10.51,10.64,1927800,10.59
2014-08-15,10.40,10.41,9.99,10.29,1528900,10.24
2014-08-14,10.51,10.58,10.26,10.30,916400,10.25
2014-08-13,10.53,10.58,10.40,10.51,1246300,10.46
2014-08-12,10.48,10.61,10.38,10.48,1811100,10.43
2014-08-11,10.33,10.58,10.30,10.56,1773900,10.51
2014-08-08,10.29,10.41,10.08,10.29,1408500,10.24
2014-08-07,10.31,10.68,10.19,10.29,2177000,10.24
2014-08-06,10.07,10.29,9.63,10.18,2267400,10.13
2014-08-05,10.29,10.40,9.90,9.94,3135900,9.89
2014-08-04,10.86,11.12,10.30,10.35,3985100,10.30
2014-08-01,10.86,11.15,10.45,10.97,3281300,10.91
2014-07-31,10.80,10.90,10.26,10.26,2909400,10.21
2014-07-30,10.98,11.22,10.84,10.94,2553500,10.88
2014-07-29,10.86,11.08,10.77,10.88,2145900,10.82
2014-07-28,10.72,10.90,10.57,10.86,1896500,10.80
2014-07-25,10.78,11.00,10.66,10.71,2144500,10.66
2014-07-24,10.99,11.02,10.77,10.88,1653700,10.82
2014-07-23,11.03,11.27,10.98,11.00,1934800,10.94
2014-07-22,10.78,11.25,10.74,11.04,2621200,10.98
2014-07-21,11.09,11.09,10.32,10.71,4665400,10.66
2014-07-18,10.82,11.21,10.78,11.17,2327200,11.11
2014-07-17,11.30,11.42,10.80,10.83,3117400,10.77
2014-07-16,11.60,11.61,11.31,11.35,1991700,11.29
2014-07-15,11.68,11.81,11.47,11.55,2151600,11.49
2014-07-14,11.80,11.86,11.23,11.66,4066200,11.60
2014-07-11,12.23,12.33,11.28,11.65,5834000,11.59
2014-07-10,12.20,12.33,11.93,12.22,2745900,12.16
2014-07-09,12.36,12.73,12.35,12.52,2571500,12.46
2014-07-08,12.61,12.62,12.06,12.34,2383700,12.28
2014-07-07,12.83,12.90,12.50,12.66,2011000,12.60
