Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,5.85,5.85,5.55,5.55,1200,5.55
2014-12-05,5.66,5.66,5.65,5.65,800,5.65
2014-12-04,6.00,6.00,5.65,5.65,2300,5.65
2014-12-03,5.92,5.95,5.92,5.95,1100,5.95
2014-12-02,5.75,5.80,5.75,5.75,3600,5.75
2014-12-01,5.67,5.67,5.67,5.67,300,5.67
2014-11-28,5.79,5.79,5.79,5.79,100,5.79
2014-11-26,5.65,5.65,5.64,5.64,400,5.64
2014-11-25,5.80,5.80,5.64,5.64,800,5.64
2014-11-24,5.70,5.70,5.65,5.65,2000,5.65
2014-11-21,5.80,5.80,5.70,5.70,2100,5.70
2014-11-20,5.66,5.67,5.65,5.66,3600,5.66
2014-11-19,5.70,5.70,5.69,5.69,1400,5.69
2014-11-18,5.56,5.56,5.56,5.56,000,5.56
2014-11-17,5.56,5.56,5.56,5.56,000,5.56
2014-11-14,5.56,5.56,5.56,5.56,000,5.56
2014-11-13,5.56,5.56,5.56,5.56,000,5.56
2014-11-12,5.80,6.00,5.56,5.56,2700,5.56
2014-11-11,5.96,5.96,5.72,5.72,2900,5.72
2014-11-10,5.97,5.97,5.97,5.97,000,5.97
2014-11-07,5.97,5.97,5.97,5.97,000,5.97
2014-11-06,5.97,5.97,5.97,5.97,200,5.97
2014-11-05,6.00,6.00,6.00,6.00,000,6.00
2014-11-04,5.48,6.00,5.48,6.00,200,6.00
2014-11-03,5.60,5.60,5.60,5.60,000,5.60
2014-10-31,5.60,5.60,5.60,5.60,000,5.60
2014-10-30,5.70,5.70,5.60,5.60,700,5.60
2014-10-29,5.97,5.97,5.97,5.97,000,5.97
2014-10-28,5.97,5.97,5.97,5.97,000,5.97
2014-10-27,5.97,5.97,5.97,5.97,000,5.97
2014-10-24,5.97,5.97,5.97,5.97,000,5.97
2014-10-23,5.66,5.97,5.66,5.97,300,5.97
2014-10-22,5.66,5.66,5.66,5.66,1000,5.66
2014-10-21,6.00,6.00,6.00,6.00,600,6.00
2014-10-20,5.66,6.00,5.66,6.00,300,6.00
2014-10-17,5.90,5.90,5.90,5.90,000,5.90
2014-10-16,5.90,5.90,5.90,5.90,000,5.90
2014-10-15,5.90,5.90,5.90,5.90,000,5.90
2014-10-14,6.00,6.00,5.90,5.90,2100,5.90
2014-10-13,6.00,6.00,6.00,6.00,000,6.00
2014-10-10,6.00,6.00,6.00,6.00,000,6.00
2014-10-09,6.10,6.10,6.00,6.00,20000,6.00
2014-10-08,6.38,6.38,6.38,6.38,300,6.38
2014-10-07,6.14,6.14,6.14,6.14,000,6.14
2014-10-06,6.14,6.14,6.14,6.14,000,6.14
2014-10-03,6.12,6.38,6.12,6.14,1800,6.14
2014-10-02,6.40,6.40,6.40,6.40,000,6.40
2014-10-01,6.40,6.40,6.40,6.40,200,6.40
2014-09-30,6.10,6.10,6.10,6.10,600,6.10
2014-09-29,6.05,6.05,6.05,6.05,100,6.05
2014-09-26,6.17,6.17,6.17,6.17,000,6.17
2014-09-25,6.63,6.79,6.09,6.17,11900,6.17
2014-09-24,6.05,6.05,6.05,6.05,000,6.05
2014-09-23,6.05,6.05,6.05,6.05,200,6.05
2014-09-22,6.17,6.35,6.00,6.00,1300,6.00
2014-09-19,6.40,6.40,6.05,6.05,7500,6.05
2014-09-18,6.38,6.40,6.23,6.40,2400,6.40
2014-09-17,6.41,6.41,6.21,6.21,900,6.21
2014-09-16,6.42,6.42,6.05,6.05,2400,6.05
2014-09-15,6.09,6.43,6.06,6.42,5300,6.42
2014-09-12,6.44,6.44,6.40,6.44,3800,6.44
2014-09-11,6.15,6.44,6.09,6.44,16100,6.44
2014-09-10,6.44,6.44,6.15,6.15,1600,6.15
2014-09-09,6.42,6.44,6.14,6.40,2700,6.40
2014-09-08,6.41,6.44,6.16,6.44,3500,6.44
2014-09-05,6.15,6.50,6.10,6.20,4700,6.20
2014-09-04,6.14,6.14,6.14,6.14,200,6.14
2014-09-03,6.05,6.44,6.05,6.41,11100,6.41
2014-09-02,6.10,6.20,6.04,6.04,2900,6.04
2014-08-29,6.44,6.44,5.98,5.98,1100,5.98
2014-08-28,6.10,6.25,5.98,6.00,2900,6.00
2014-08-27,6.02,6.05,6.02,6.05,7100,6.05
2014-08-26,6.02,6.02,6.02,6.02,3000,6.02
2014-08-25,6.03,6.03,6.03,6.03,2500,6.03
2014-08-22,6.04,6.04,6.04,6.04,000,6.04
2014-08-21,6.04,6.04,6.04,6.04,400,6.04
2014-08-20,6.03,6.16,6.03,6.04,8900,6.04
2014-08-19,6.40,6.40,6.40,6.40,000,6.40
2014-08-18,6.04,6.40,6.01,6.40,2600,6.40
2014-08-15,6.13,6.49,6.13,6.30,2000,6.30
2014-08-14,6.40,6.40,6.40,6.40,000,6.40
2014-08-13,6.50,6.50,6.40,6.40,500,6.40
2014-08-12,6.50,6.50,6.50,6.50,2000,6.50
2014-08-11,6.50,6.50,6.50,6.50,2900,6.50
2014-08-08,6.88,6.88,6.88,6.88,000,6.88
2014-08-07,6.88,6.88,6.88,6.88,100,6.88
2014-08-06,7.00,7.00,7.00,7.00,000,7.00
2014-08-05,6.60,7.00,6.60,7.00,1900,7.00
2014-08-04,6.50,6.50,6.50,6.50,000,6.50
2014-08-01,5.70,6.50,5.70,6.50,1600,6.50
2014-07-31,5.70,5.70,5.70,5.70,000,5.70
2014-07-30,5.70,5.70,5.70,5.70,400,5.70
2014-07-29,5.70,5.70,5.70,5.70,400,5.70
2014-07-28,6.50,6.50,6.50,6.50,000,6.50
2014-07-25,6.50,6.50,6.50,6.50,200,6.50
