Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,105.96,106.06,105.11,105.45,52500,105.45
2014-12-05,106.88,106.95,106.31,106.91,64100,106.91
2014-12-04,106.69,107.09,106.26,106.73,82400,106.73
2014-12-03,106.80,106.80,105.97,106.26,78000,106.26
2014-12-02,105.68,106.77,105.66,106.68,113200,106.68
2014-12-01,105.40,105.56,104.68,104.88,122400,104.88
2014-11-28,104.63,104.90,104.26,104.60,39900,104.60
2014-11-26,104.15,104.53,103.91,104.52,43300,104.52
2014-11-25,103.29,104.26,103.18,104.13,59100,104.13
2014-11-24,103.17,103.41,102.81,103.41,62700,103.41
2014-11-21,103.06,103.12,102.46,102.67,65200,102.67
2014-11-20,102.22,102.28,101.54,101.89,62500,101.89
2014-11-19,101.78,102.20,101.03,101.96,62000,101.96
2014-11-18,101.03,101.14,100.39,100.78,49000,100.78
2014-11-17,99.45,100.38,99.36,100.28,66600,100.28
2014-11-14,100.26,100.32,99.57,100.06,141500,100.06
2014-11-13,100.25,100.60,99.92,100.33,296700,100.33
2014-11-12,99.35,99.67,99.04,99.24,129200,99.24
2014-11-11,99.93,100.70,99.86,100.53,96200,100.53
2014-11-10,99.08,99.81,99.07,99.68,181700,99.68
2014-11-07,98.45,98.70,97.81,98.70,333300,98.70
2014-11-06,97.96,98.28,97.47,97.77,106900,97.77
2014-11-05,99.01,99.01,97.91,98.37,98000,98.37
2014-11-04,99.19,99.32,98.00,98.62,238600,98.62
2014-11-03,98.14,98.75,98.00,98.61,177500,98.61
2014-10-31,97.23,97.66,96.99,97.59,228400,97.59
2014-10-30,96.49,97.12,96.20,96.89,67300,96.89
2014-10-29,96.91,98.08,96.51,96.83,64400,96.83
2014-10-28,96.07,96.47,95.85,96.44,39100,96.44
2014-10-27,94.70,95.67,94.47,95.38,46800,95.38
2014-10-24,94.48,95.19,94.12,95.16,48800,95.16
2014-10-23,94.70,95.55,94.49,94.86,52300,94.86
2014-10-22,94.98,95.81,94.54,94.75,114300,94.75
2014-10-21,93.41,94.77,93.41,94.73,70000,94.73
2014-10-20,91.26,91.52,90.80,91.45,54000,91.45
2014-10-17,91.19,91.89,90.72,91.71,81000,91.71
2014-10-16,88.48,91.25,88.30,90.86,98700,90.86
2014-10-15,89.96,90.38,88.15,89.95,77500,89.95
2014-10-14,90.47,91.22,90.04,90.29,62200,90.29
2014-10-13,91.83,92.30,90.34,90.34,59300,90.34
2014-10-10,93.15,93.40,91.64,91.64,56200,91.64
2014-10-09,95.02,95.36,92.97,92.99,85300,92.99
2014-10-08,93.46,95.29,93.16,95.21,66500,95.21
2014-10-07,96.16,96.16,94.56,94.57,255200,93.61
2014-10-06,96.50,97.07,96.43,96.67,644900,95.69
2014-10-03,97.03,97.03,95.73,96.51,78700,95.53
2014-10-02,97.18,97.34,95.13,96.05,127500,95.07
2014-10-01,98.96,99.01,97.65,97.83,280500,96.83
2014-09-30,101.48,102.71,100.12,100.44,249800,99.42
2014-09-29,101.18,102.82,101.18,102.61,75000,101.57
2014-09-26,101.91,101.98,101.25,101.81,39500,100.77
2014-09-25,102.82,102.82,101.89,102.11,50500,101.07
2014-09-24,102.46,103.51,102.27,103.33,29300,102.28
2014-09-23,103.42,103.68,103.00,103.07,40800,102.02
2014-09-22,105.05,105.05,104.59,104.73,50000,103.66
2014-09-19,105.38,105.40,104.94,105.17,107600,104.10
2014-09-18,104.54,105.21,104.46,104.99,55900,103.92
2014-09-17,102.79,103.05,102.32,102.49,37800,101.45
2014-09-16,102.51,103.47,102.30,103.47,68300,102.42
2014-09-15,103.09,103.09,102.22,102.49,47900,101.45
2014-09-12,103.53,103.61,103.11,103.53,50200,102.48
2014-09-11,103.30,103.30,102.66,103.15,43300,102.10
2014-09-10,102.86,103.89,102.58,103.78,85400,102.72
2014-09-09,103.75,104.18,103.44,103.95,35800,102.89
2014-09-08,103.43,104.40,103.43,104.08,53800,103.02
2014-09-05,105.58,105.99,105.28,105.80,42000,104.72
2014-09-04,106.30,106.65,105.56,105.71,354200,104.63
2014-09-03,106.04,106.18,105.45,105.75,41300,104.67
2014-09-02,105.01,105.50,104.77,105.49,343100,104.42
2014-08-29,104.56,104.91,104.37,104.87,38300,103.80
2014-08-28,104.15,105.05,103.99,104.82,46000,103.75
2014-08-27,103.97,104.53,103.85,104.45,44600,103.39
2014-08-26,103.92,103.92,102.58,102.61,87800,101.57
2014-08-25,102.69,103.44,102.46,103.21,45500,102.16
2014-08-22,102.11,102.11,101.53,101.76,80900,100.72
2014-08-21,102.48,102.58,101.77,102.05,47400,101.01
2014-08-20,102.30,102.61,101.95,102.27,26800,101.23
2014-08-19,103.06,103.06,102.45,102.45,67400,101.41
2014-08-18,102.67,103.04,102.66,103.01,28300,101.96
2014-08-15,102.47,102.57,100.94,101.74,37600,100.70
2014-08-14,101.86,102.00,101.56,102.00,22400,100.96
2014-08-13,101.81,101.82,101.17,101.49,49400,100.46
2014-08-12,102.05,102.23,101.73,101.89,61900,100.85
2014-08-11,101.57,102.66,101.55,102.20,56400,101.16
2014-08-08,100.59,100.95,100.02,100.94,84700,99.91
2014-08-07,99.67,99.71,98.74,98.82,40100,97.81
2014-08-06,98.70,99.84,98.70,99.35,43300,98.34
2014-08-05,99.26,99.39,98.63,98.73,54800,97.72
2014-08-04,99.69,99.90,99.17,99.76,41700,98.74
2014-08-01,98.40,99.83,98.40,99.44,52100,98.43
2014-07-31,99.92,100.17,99.49,99.49,42500,98.48
2014-07-30,100.62,102.14,100.48,102.07,47400,101.03
2014-07-29,103.05,103.07,102.10,102.25,41400,101.21
2014-07-28,103.80,103.80,102.92,103.20,61200,102.15
2014-07-25,104.79,104.90,103.85,104.46,43600,103.40
2014-07-24,105.27,105.40,104.87,105.26,30100,104.19
2014-07-23,106.54,106.54,105.68,105.77,23000,104.69
2014-07-22,105.26,106.00,105.25,105.84,36100,104.76
2014-07-21,104.78,105.00,104.36,104.92,44600,103.85
